Country,Sail NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Place
AUS,8644,David Porter,Peter Holden,,2,1,1,1,5,1
AUS,8648,Brett van Munster,Bickham,,4,2,5,4,15,2
AUS,8280,Michael Quirk,Geoff Lange,,1,DNF 12,4,2,19,3
AUS,8398,Bill Edwards,Uwe Kruger,,7,5,7,6,25,4
AUS,8603,Ian Dunn,Brad,,6,6,2,DNF 12,26,5
AUS,8628,Brian Robinson,Dick,,DNF 12,DNF 12,3,3,30,6
AUS,8628,Brian Robinson,Crew,,3,4,DNF 12,DNF 12,31,7
AUS,8603,Ian Dunn,Paul Schulz,,DNF 12,DNF 12,2,5,31,7
AUS,8638,Hugh Stoddart,Robinson,,5,3,DNF 12,DNF 12,32,9
AUS,8578,Geoff Holden,Matthew Holden,,8,DNF 12,6,7,33,10
AUS,8168,Tompson,Thompson,,DNF 12,DNF 12,8,DNF 12,44,11
