Country,Sail Number,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,TOTAL,NET,Place
FRA,,F. Doerenbecher,Yvan Doerenbecher,,[1],1,1,1,,0,1
FRA,,Marcel Buffet,Frantz,,,,,,,6,2
FRA,,Camilli,Honor,,,,,,,"11,7",3
FRA,,Bernard Moret,Rene Morch,,,,,,,"21,7",4
FRA,,Bensoam,Gagneux,,,,,,,30,5
FRA,,E. Novak,H. Novak,,,,,,,"35,1",6
FRA,,Mayoux,Marras,,,,,,,37,7
