Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Netto,Place
BEL,,André Duquennoy,Jean Paul Brunet,Tournai Belgique,1,,1,1,,,,1
FRA,8063,Marcel Buffet,Pierre-Jean Gallo,C.V.Paris,2,2,3,3,2,,,2
BEL,,Paul Gorremans,Rysenaere,,,,2,2,,,,3
FRA,,Philippe Noclain,Jean-Pierre Noclain,C.V.Valenciennnes,,,,,1,,,4
FRA,,Eric Nigon,Marc Jouany,C.V.Paris,,1,,,,,,5
FRA,,Delhoume,Keraudren,C.N.Viry,,,,,,,,6
FRA,,Pascal Brunfaut,Gérard Brunfaut,C.N.Viry,,,,,,,,7
FRA,,Fitzner,Feuvrier,C.V.Paris,,,,,,,,8
FRA,,David,Blondy,C.V.Valenciennes,,,,,,,,9
BEL,,Vandersteen,Vandersteen,,,,,,,,,10
FRA,,Duez,Mortelette,C.V.Valenciennes,,,,,,,,11
FRA,,Carvallo,Berrezay,C.N.Haute-Seine,,,,,,,,12
FRA,,Gr.Leroy,B. Leroy,Y.C.Bray-Dunes,,,,,,,,13
FRA,,Vincent,Blazy,C.N.wimereux,,,,,,,,14
BEL,,Desmaret,Vandersteen,,,,,,,,,15
