Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Netto,Place
FRA,,Ducelier,Marc,,6,,,,,,,,1
FRA,,Jean-Pierre Noclain,Philippe Noclain,,,,,,,,,,2
FRA,,Francis Doerenbecher,Yvan Doerenbecher,,,,,,,,,,3
FRA,,Fossard,Barthelemy,,,,,,,,,,4
FRA,,François David,Paul Gorremans,,,,,,,,,,5
FRA,,Mortat,Jacob Cavalier,,,,,,,,,,6
FRA,,Thierry Rattier,Sylvie Rattier,,,,,,,,,,7
FRA,,Gilles Carvallo,Samuel Carvallo,,,,,,,,,,8
FRA,,Pierre Soulier,Legoff,,,,,,,,,,9
FRA,,Marcel Buffet,Patrice Toupet,,,,,,,,,,10
FRA,,Marnez,Feuvrier,,,,,,,,,,11
FRA,,Pierre Muh,Frigaux,,,,,,,,,,12
FRA,,Alain Preel,Michel Laugerotte,,,,,,,,,,13
FRA,,Geraud,Geraud,,,,,,,,,,14
FRA,,R Dast,Laurent Dast,,,,,,,,,,15
FRA,,Fitzner,Feuvrier,,,,,,,,,,16
FRA,,Aubin,,,,,,,,,,,17
FRA,,Henry,Dechaud,,,,,,,,,,18
FRA,,Hue,Chervet,,,,,,,,,,19
FRA,,Hignard,,,,,,,,,,,20
FRA,,Erik Nigon,Marc Jouany,,,,,,,,,,21
FRA,,Dousselin,,,,,,,,,,,22
FRA,,Philippe Le Norment,Suzanne Saleur,,,,,,,,,,23
FRA,,Vinches,Glaize,,,,,,,,,,24
FRA,,Delhouhe,Keraudrei,,,,,,,,,,25
FRA,,Viacent,,,,,,,,,,,26
FRA,,Philippe Boite,Jean-Luc Muzellec,,,,,,,,,,27
