Country,Sail Number,Helm,Crew,CLUB/ORG,R1,R2,R3,R4,R5,R6,TOTAL,NET,Place
FRA,,Philippe Boite,Jean-Luc Muzellec,,,,,,,,,,1
FRA,,Hervé Wattine,Louis-Michel Ces,,,,,,,,,,2
FRA,,Marcel Buffet,Patrice Toupet,,,,,,,,,,3
FRA,,Gilbert Vinches,J. Delvaux,,,,,,,,,,4
FRA,,Eric Petit,Richard Lefevre,,,,,,,,,,5
FRA,,Olivier Ducellier,Marc,,,,,,,,,,6
FRA,,Camilli,Monor,,,,,,,,,,7
FRA,,Francis Macheboeuf,Pretot,,,,,,,,,,8
FRA,,Raguet,Bertrand,,,,,,,,,,9
FRA,,Pierre Soulier,Legoff,,,,,,,,,,10
FRA,,Frantz,Papin,,,,,,,,,,11
FRA,,Fischer,Bourdon,,,,,,,,,,12
FRA,,Robert Fossard,Vincent Barthélemy,,,,,,,,,,13
FRA,,Delhoume,Keraudren,,,,,,,,,,14
FRA,,N. Reboud,Pierre Reboud,,,,,,,,,,15
FRA,,Lortat Jacob,Cavalie,,,,,,,,,,16
FRA,,Pierre Muh,Frigaux,,,,,,,,,,17
FRA,,Philippe Le Norment,Suzanne Saleur,,,,,,,,,,18
FRA,,Regis Legre,Ishkinazi,,,,,,,,,,19
FRA,,Feuerstein,Virginie Lombard,,,,,,,,,,20
FRA,,Henr,Dechaud,,,,,,,,,,21
FRA,,Thierry Rattier,Sylvie Rattier,,,,,,,,,,22
