Country,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Netto,Place
FRA,8421,Hervé Wattine,Falque,,,,,,,,,1
SUI,,Betschen,Marti ,,,,,,,,,2
FRA,,Marcel Buffet,Prétot,,,,,,,,,3
FRA,,Ducelier,Marc,,,,,,,,,4
SUI,,Bart,Senn,,,,,,,,,5
SUI,,Jacot,Gotburg,,,,,,,,,6
FRA,,Camilli,Manin,,,,,,,,,7
FRA,,Fussard,Gapito,,,,,,,,,8
FRA,,N. Reboud,Pierre Reboud,,,,,,,,,9
GER,,Sanguino,Dorr ,,,,,,,,,10
FRA,,Philippe Boite,Robert Leibovitch,,,,,,,,,11
FRA,,Jacques Bochu,Christophe Bochu,,,,,,,,,12
FRA,,Alain Preel,Michel Laugerotte,,,,,,,,,13
FRA,,Jean-Pierre le Roux,Thepon,,,,,,,,,14
FRA,,Aurélie Plouvier,P. Plouvier,,,,,,,,,15
FRA,,Feuepstein,Virginie Lombard,,,,,,,,,16
FRA,,Regis Legre,Arlaud,,,,,,,,,17
