Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
GBR,8774,Ian Pinnell,Steve Hunt,HISC,3,5*,1,1,5,1
GBR,8481,Simon Payne,Bill Masterman,Hayling Island,2,1,20 DNF*,2,5,2
FRA,8702,Philippe Boite,,France,1,3*,2,3,6,3
GBR,8555,D Smithwhite,Neil Fulcher,HISC,4*,2,3,4,9,4
GBR,8776,Charlie Waters,Christian Diesitch,Datchet Water,5,4,6*,5,14,5
GBR,8694,Andy Williams,Andy Edmonds,PYSC,8*,6,4,6,16,6
GBR,8672,Miles Odell,Andrew Streeter,HISC,7*,7,5,7,19,7
GBR,8493,Chris Dando,Donald Swan,Stone,6,8,13*,11,25,8
GBR,8510,A. Thorp,N. Thorp,Shotley SC,12,13*,7,8,27,9
GBR,8535,F. Cram,D. Cram,HISC,11*,10,8,9,27,10
GBR,8034,Matt Toone,Neil Huwell,Alton Water SC,9,9,9,12*,27,11
GBR,8291,Sam Neal,A. James,GWSC,13,12,20 DNF*,10,35,12
GBR,8455,Marcel Buffet,Bonnet,Cercle Voile Paris,20 DNF*,14,10,13,37,13
GBR,8748,Jim Berry,Gilles Carvallo,Club Nge Houte Seine,14,16*,11,15,40,14
GBR,8583,Simon Brewer,Alistair Ramsden,Stokes Bay,10,11,20 DNF*,20 DNF,41,15
GBR,8532,Tom Clayton,Dennis Hyatt,Shotley SC,15,17*,12,14,41,16
GBR,8625,Mel Newman,Alex Cull,Queen Mary SC,16,15,20 DNF*,20 DNF,51,17
GBR,8305,T. Power,R. Kerry,Stour SC,20 DNF*,20 DNF,20 DNF,20 DNF,60,18=
GBR,8705,AN Other,Simon Lake,GWSC,20 DNF*,20 DNF,20 DNF,20 DNF,60,18=
