Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Points,Place
GBR,8774,Ian Pinnell,Tim Hancock,HISC,2,3*,1,1,7,4,1
FRA,8702,Philippe Boite,Falonice Toupet,CV Vieaux,6,4,2,22 OCS*,34,12,2
GBR,8672,Miles Odell,Andrew Streeter,HISC,4,5,9*,5,23,14,3
GBR,8555,David Smithwhite,Neil Fulcher,HISC,3,2,10,22 DNS*,37,15,4
GBR,8429,Rob Napier,Jonathan Rennie,HISC,7,10*,5,3,25,15,5
GBR,8495,Dave Peacock,Chris Hewkin,Burton SC,5,9,8,8,30,30,6
GBR,8726,Martin Stainsby,Bill Munnery,HISC,9,11*,6,6,32,21,7
GBR,8493,Christopher Dando,Donald Sloan,Stone SC,10,6,12*,7,35,23,8
GBR,8773,Simon Payne,Bill Masterman,HISC,1,1,22 DNS*,22 DNS,46,24,9
GBR,8535,Francis Cram,Dougal Cram,HISC,12,22 RET*,3,9,46,24,10
GBR,8307,Paul Foddy,Peter Smithin,SBSC,8,8,13,22 OCS*,51,29,11
GBR,8685,M Sims,R Sims,Burton SC,22 DNC*,22 DNC,4,4,52,30,12
GBR,8679,Hector Cisneros,Lawrence Crispin,Stone SC,22 DSQ*,22 DSQ,7,2,53,31,13
GBR,8552,Andrew Short,Russell Short,Burton SC,11,14,15*,13,53,38,14
GBR,8474,Chris Thorne,Andy Tyts,Portishead,22 DSQ*,12,16,11,61,39,15
GBR,8705,Charles Walters,Simon Lake,DWSC,22 RET*,7,11,22 DNS,62,40,16
GBR,8625,Mel Newman,Alex Cull,Queen Mary,22 DNC*,22 DNC,14,10,68,46,17
GBR,8532,Tom Clayton,Dennis Hyolt,Shotley SC,22 RET*,22 RET,17,14,75,53,18
GBR,8752,Jim Berry,Paul Young,Chew Vallay,22 DNC*,22 DNC,DSQ,12,78,56,19
GBR,8745,Chris Pearson,Frank Rainsborough,Queen Mary,22 DNC*,13,22 DNC,22 DNS,79,57,20
GBR,8514,Ann Lane,Andrew Draper,Queen Mary,22 RET*,22 DNS,22 DNS,22 DNC,88,66,21
