Nation,Sail number,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Total,Pos
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz YC/Santa Cruz YC,1,1,[4],3,1,2,,8T,1
USA,9106,Mike Martin,Adam Lowry,StFYC/StFYC,2,2,1,2,[3],1,,8T,2
USA,9004,Eric Anderson,Nic Baird,YCYC/Yale Corinthian Yacht Club,[9],9,3,1,2,3,,18,3
USA,9160,Howard Hamlin,Reeve Dunne,NHYC and ABYC/NHYC/ABYC,4,4,2,[5],4,5,,19,4
USA,9143,Douglas Hagan,Paul VonGrey,SCSF/PCYC,[8],3,5,6,5,4,,23,5
USA,8864,Miles Johannsen,Paul Pihl,BYC/BYC,5,6,6,4,[8],7,,28,6
USA,8576,Mike Punnett,Don Smith,SISA/ABYC,3,7,7,10,6,[11/DNF],,33,7
USA,8967,Courtney Starks,Mars Le Baron,BYC/AYC,6,5,8,[9],7,9,,35,8
USA,8084,Aaron Ross,Patrick Diola,Santa Cruz Yacht Club/Santa Cruz Yacht Club,7,8,[10],8,9,6,,38,9
USA,8753,Ryan Nelson,Mike Bishop,Encinal Yacht Club/ACSC,[11/DNS],10,9,7,10,8,,44,10
