Nation,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat,Total,W/ Masters Handicap,Pos
USA,8965,Mike Zani,Pete Alarie,Tiverton YC,1,[2],1,1,1,2,Schnitzel,6,6,1
USA,8786,Luke Ingalls,John Ingalls,Sakonnet,2,1,[6],4,2,4,Barbara,13,13,2
USA,9095,Macy G Nelson,Russell Miller,West River,5,5,2,2,4,[10],Highway 95 Revisited,18,18,3
USA,8715,Ethan Bixby,Chris Brady,SPSC,4,3,4,7,3,[14/DNC],Pressure Drop,21,21,4
CAN,9005,Thomas Kivney,Gordon Russell,Hingham Yacht Club,3,7,5,[8],5,8,Katiebear,28,28,5
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,[10],6,3,5,8,7,Lookadatla,29,29,6
USA,8083,Alexander Tong,Adam Wolnikowski,YCYC,6,[9],8,3,6,9,,32,32,7
USA,8857,Brendan Connell,Gabriel Watson,West River Sailing Club,7,11,9,[14/RET],7,1,,35,35,8
USA,9186,Ted Bjerregaard,Ted Bjerregaard,IDA Lewis YC,8,10,10,9,[11],3,Uncle Drew,40,40T,9
USA,8930,Duane Delfosse,Mike Hull,LSYC,[12],8,11,6,10,5,8930,40,40T,10
USA,8951,David Kirkpatrick,,Sail Newport,9,4,7,[14/DNF],9,14/DNC,Toxic Masculinity,43,43,11
USA,8850,Douglas Watson,Solomon Marini,Outer Harbour Centreboard Club,[13],12,12,10,12,6,Dr. Crash,52,52,12
USA,8851,Amie Huebner,Ted Heubner,Sail Newport,11,13,[14/RET-BF],14/RET,14/RET,14/RET,,66,66,13
