1994 505 European Championships Medemblik, Holland 8/13-21,Helm,Crew,R1,R2,R3,R4,R5,R6,Pts.,Pos.
DEN 8433,Jørgen Schönherr,Anders Kæmpe,,6,9*,2,3,1,1,20.4,1
GBR 8521,Paul Towers,Dan Johnson,,8,4,4,DNF,3,2,38.7,2
USA 8266,Howard Hamlin,Mike Martin,,2,2,13,6,RET,3,42.4,3
GBR 8510,Ian Barker,Ian Mitchell,,4,12,1,DNF,2,10,45.0,4
SWE 8475,Krister Bergstrom,Thomas Moss,,3,13,6,1,5,16*,46.4,5
SUI 8459,Betschen,Jacot,,9,23*,5,7,7,13,70.0,6
SWE 8232,Rosen,Wenrup,,11,1,8,22*,13,15,71.0,7
GBR 8242,Mark Upton-Brown,Nigel Vooght,,1,25*,17,8,8,17,74,8
GBR 8431,Pinnel,Butcher,,10,18*,3,18,17,7,81.7,9
GER 8550,Boeger,Jess,,27,34*,7,11,4,8,85.0,10
