,Sail,,,Race,,,,Total,Less,Final
Helmsman/Crew,Number,1,2,3,4,5,6,Points,Discard,Position
Brummer-Karlsson,L7356,DSQ,18,11,10,DNC,16,257.0,168.0,27
Tristan-Tristan,"F7,121",57,22,30,41,28,26,240.0,177.0,28
Waskoenig-Wolff,G7354,27,DNC,26,37,39,23,271.0,182.0,29
Oudard-Oudard,"F7,122",44,33,33,28,27,31,232.0,182.0,30
Hampe-Risom,G6865,36,44,27,26,RET,20,272.0,183.0,31
Le Trouquer-Pascal,"F7,235",35,27,29,29,34,35,225.0,184.0,32
Beckmann-Tiedemann,G6974,31,14,RET,22,DNC,7,276.0,187.0,33
Graham-Graham,Z7113,22,28,36,DNC,29,46,280.0,191.0,34
Lippi-Dufourg,"F6,963",32,37,28,43,26,42,244.0,195.0,35
Lecrit-Serane,"F7,147",11,DNC,DNC,27,33,14,287.0,198.0,36
Fehlmann-Real,Z6532,24,RET,59,35,30,22,289.0,200.0,37
Andersen-Andersen,D7140,37,24,23,32,DNC,55,290.0,201.0,38
Collomb-De Rham,Z7244,48,43,38,25,43,25,258.0,204.0,39
Mueller-Mueller,Z6767,52,DNC,34,42,21,27,295.0,206.0,40
Malstrom-Blidner,S7166,51,40,18,38,32,49,274.0,207.0,41
Joost-Joost,G7045,64,19,35,31,50,50,235.0,215.0,42
Raguet-Conrad,"F6,989",54,38,52,30,36,36,282.0,222.0,43
Preuss-Bertenrath,G6930,33,30,66,51,31,52,299.0,227.0,44
Forster-Toepfer,G7085,29,26,RET,PMS,18,44,319.0,230.0,45
Fischer-Claudel,"F6,602",30,DNC,37,48,45,40,319.0,230.0,46
Lauebli-Rabus,Z7371,50,46,42,40,DNC,43,340.0,251.0,47
Broska-Barth,G6505,51,34,45,47,46,56,315.0,253.0,48
Fossard-Barthelemy,"F6,585",45,35,31,68,DNC,47,345.0,256.0,49
Pitman-Ludlow,K7301,21,DNC,10,PMS,RET,37,353.0,264.0,50
Pabst-Hay,G7129,43,50,55,RET,41,45,353.0,264.0,51
Levesque-Lepage,"F7,257",38,39,43,PMS,DNC,33,355.0,266.0,52
Rathjens-Uhlemann,G7131,53,DNC,44,52,51,41,360.0,271.0,53
Kowalzig-Mussbach,G6816,68,52,50,49,40,51,346.0,272.0,54
Malnn-Melin,S6434,62,54,40,DNC,35,58,368.0,279.0,55
Oskarsson-Edstrom,S6841,DSQ,21,46,50,DNC,53,372.0,283.0,56
Thomsen-Schultz,G7035,58,51,39,RET,42,67,376.0,287.0,57
Hansen-Gravesen,D6724,69,45,56,45,DNC,48,382.0,293.0,58
Vinches-Nadaud,"F7,172",63,42,47,60,54,DNC,385.0,296.0,59
Meyer-Riak,G7044,59,56,54,56,47,65,373.0,302.0,60
Spiess-Buser,Z7026,71,41,DNC,66,44,54,395.0,306.0,61
Keller-Gay,Z6471,41,DNC,RET,34,38,RET,398.0,309.0,62
Toupet-Toupet,"F7,139",77,49,62,54,55,61,394.0,311.0,63
Bouchholz-Bolender,G6771,66,60,53,57,53,60,385.0,313.0,64
Lucienne-Bonnet,"F6,732",70,47,60,59,48,RET,403.0,314.0,65
Gre'-Gauvin,"F6,961",74,57,48,64,49,66,394.0,314.0,66
Tricard-Piazza.,"F7,621",49,53,61,DNC,58,69,409.0,320.0,67
O'Sullivan-Dixon,IR6604,76,59,58,53,61,63,406.0,324.0,68
Wattinne-Solaiges,F73,39,DNC,DNC,19,DNC,DNC,426.0,337.0,69
Klemencic-Schenk),G7105,73,55,64,65,60,64,417.0,338.0,70
Philippides-Bachet,"F7,138",75,DNC,65,63,52,57,431.0,342.0,71
Pellissier-Margot,"F7,053",46,DNC,49,58,DNC,DNC,438.0,349.0,72
Nott-Furlong,K7360,65,DNC,RET,62,56,59,444.0,355.0,73
