Nation,Sail NO,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Pos
USA,2*,Michael Martin,,StFYC/NHYC,3,3,1,2,[4],1,1,3,14,1
USA,9080,Howard Hamlin,,NHYC,1,1,2,4,[5],3,3,2,16,2
USA,8831,Parker Shinn,,SDYC,[5],5,4,1,3,4,2,1,20T,3
USA,9115,Mike Holt,,Santa Cruz YC,[7],2,3,3,2,2,4,4,20T,4
USA,8808,Augie Diaz,,Coral Reef Yacht Club,2,[6],5,6,1,6,5,6,31,5
USA,9082,Jeff Miller,,SCYC,4,4,6,7,7,5,[8],5,38,6
USA,8631,Paul Allen,,SCYC,6,7,7,[8],6,7,7,7,47,7
USA,8967,Philippe Kahn,,Santa Cruz,10,9,9,5,10,8,6,[15/DNF],57,8
USA,7609,Ryan Nelson,,Richmond Yacht Club,11,10,10,9,9,9,10,[15/DNC],68,9
USA,7877,Steve Anderes,,FSC,13,11,11,[15/DNC],11,10,11,8,75,10
CAN,8970,Rich Mundell,,SCYC,8,8,8,[15/DNS],8,15/DNC,15/DNC,15/DNC,77T,11
USA,7069,Ian O'Leary,,BYC,9,12,[15/DNS],15/DNC,12,11,9,9,77T,12
USA,8559,Cory Schillaci,,,12,13,[15/DNF],10,15/DNC,15/DNC,15/DNC,15/DNC,95,13
USA,8908,Antoine Laussu,,PSSA,[15/DNC],15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,105,14
