Nation,Boat No,Helm,Crew,Boat name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
USA,8831,Paul Vongrey,,red boat,1,1,[2],1,2,1,1,1,8,1
USA,6808,Sugar Flanagan,,8 Ball,3,4,[5],5,1,3,2,2,20,2
CAN,8755,Brian Trainor,,Banshee,4,2,1,2,[6],5,5,4,23,3
USA,8435,Sean Rankins,,angel's share,2,11/DNF*,4,7,3,4,3,3,26,4
USA,7206,Anne Fitzpatrick,,Watery Tart,5,[6],6,6,5,2,4,5,33,5
USA,8616,Lee Laney,,Mancation,7,3,3,3,11/DNS*,8,7,6,37,6
USA,8868,Dan Ginther,,dooflicker,8,5,9,8,4,6,11/OCS*,11/DNS,51,7
USA,7039,Bob Conrad,,Dog Lips,[9],7,7,9,8,7,6,7,51,8
USA,8617,Paul Pihl,,Banana Pihl,6,8,8,4,11/DNS*,11/DNS,11/DNS,11/DNS,59,9
US,6935,Christopher Hubbard,,Bugbear,11/DNC*,11/DNC,11/DNC,11/DNC,7,9,11/DNS,11/DNS,71,10
