Nation,Sail,Skipper ,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Total,
CAN,8192,Phil Cragg,,RVYC,8*,1,1,1,1,4,1
CAN,8866,Cynthia Des Brisay,,Kitsilano YC,2,3*,2,3,2,9,2
USA,9002,Mats Elf,,,1,8*,3,4,3,11,3
USA,8435,Jon Henderson,,CYC-S,7,2,9*,2,8,19,4
USA,8616,Lee Laney,,,10*,5,4,8,4,21,5
USA,7156,Eric Coburn,,Port Townsend SA,4,6,5,9*,6,21,6
USA,8868,Piper Dunlap,,PTSA,6,7*,7,6,5,24,7
USA,715,Miles Johannessen,,BYC,3,4,14*,12,7,26,8
CAN,8755,Brian Trainor,,Kitsilano YC,14*,9,12,5,10,36,9
USA,8960,Bruce Van Deventer,,CYC-Seattle,12*,10,6,11,11,38,10
USA,7153,Colin Dunphy,,CYC-S,5,13,15*,13,9,40,11
USA,7206,Anne Fitzpatrick,,CYC-Seattle,9,17*,10,10,12,41,12
USA,8617,Paul Pihl,,BYC,13,15*,8,15,14,50,13
USA,6808,Sugar Flannigan,,,20*DNS,20 DNS,11,7,13,51,14
USA,8818,Paul Von Grey,,,11,12,16*,14,16,53,15
USA,8867,Patrick McSale,,,16*,11,13,16,15,55,16
USA,7039,Bob Conrad,,CYC-S,15,18,17,20*DNS,20 DNS,70,17
USA,6935,Christopher Hubbard,,CYC-Seattle,17,16,20*DNS,20 DNS,20 DNS,73,18
USA,9116,Katherine Long,,,20*DNS,14,20 DNS,20 DNS,20 DNS,74,19
