Nation,Boat No,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
USA,8830,Andrew Buttner,,Kokatat,1,1,[3],1,3,1,1,3,11,1
USA,9041,Amthor,Meller,Benchmark,5,3,1,3,2,2,4,[7],20,2
USA,8930,Ted Ferrarone,Matt Kaplan(17)/Henry Fernberger(18),License to Kill,[8],2,5,7,4,4,2,1,25,3
USA,8852,Ben Greenfield,,USA8821,2,6,[8],4,1,3,5,5,26,4
USA,9005,Thomas Kivney,,Katiebear,3,4,6,6,5,6,7,[8],37,5
USA,7773,Duane Delfosse,,Blondage,4,5,4,8,6,5,[9],6,38,6
USA,8013/8830*,Jonathan Wenderoth,,AMF,6,7,7,5,7,[8],6,2,40,7
USA,7606,Brendan Heussler,,B Squared,15/DNF*,15/DNC,2,2,15/DNC,7,3,4,48,8
USA,8939,John Wyles,Gareth Fletcher,Silver Seahorse,7,8,9,9,8,9,[10],10,60,9
USA,8919,Bryan Richardson,,Safety Word,9,9,10,15/DNC*,15/DNC,10,8,9,70,10
USA,7151,David Neal,,Kookaburra,15/DNF*,10,15/DNF,15/DNC,15/DNC,11,11,15/DNF,92,11
USA,8851,Ted Huebner,,USA 8851,15/DNC*,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,105,12
USA,8854,Craig Thompson,,USA 8854,15/DNC*,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,105,13
USA,7685,Bill Platt,,Boat,15/DNC*,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,15/DNC,105,14
