Nation,SailNo,Helm,,Club,R1,R2,R3,R4,R5,R6,R7,R8,Boat,Total,Net,Rank
USA,8792,Carol Buchan,,SYC/CYC,1,1,1,2,-3,1,1,1,Yellow Jacket,11,8,1
USA,8815,Lindsay Bergan,,SYC,2,2,2,-3,1,2,2,2,8815,16,13,2
USA,8616,Mats Elf,,CYC,3,-5,3,1,2,3,3,3,Elf,23,18,3
USA,8868,Dan Ginther,,cyc,4,4,5,4,-7,4,4,6,Dooflicker,38,31,4
USA,6499,Angus Brackett,,,5,6 DNC,7 DNC,-8,4,6,7,3,Orgasmatron,46,38,5
USA,8829,Eben Russell,,HRYC,7,3,4,7,6,(8 DNC),6,7,Border Crossing,48,40,6
USA,8647,Don Henry,,CYC,(10 DNC),6 DNC,7 DNC,5,5,5,8,8 DNC,Liberator,54,44,7
USA,8577,Bruce Van Deventer,,CYC,-8,6 DNC,7 DNC,6,8,7,5,5,Plum Crazy,52,44,8
CAN,8755,Brian Trainor,,,6,6 DNC,7 DNC,9 DNC,(10 DNC),8 DNC,9 DNC,8 DNC,Banshee,63,53,9
USA,7111,Michel Sotura,,BYC,-9,6 DNC,6,9 DNC,9,8 DNC,9 DNC,8 DNC,Gazelle,64,55,10
