Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GER,8507,Armin Eismann,Tino Käcks,SCA,3,1,1,2,,1
GER,8550,Helen Fischer,Robert Rothe,BYC,1,DNF,3,1,,2
GER,8385,Martin Bernauer,Ulf Geisler,CNFT,2,2,6,4,,3
GER,8825,Jürgen Waldheim,Thilo König,PYC,5,4,4,3,,4
GER,8665,Urs Wihlfahrt,Caroline von Dahl,,4,3,7,6,,5
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,8,5,2,10,,6
GER,8128,Mathias Konrad-Schmolke,Katrin Konrad-Schmolke,SV03,6,6,10,5,,7
GER,6786,Hendrik Reinhardt,Anika Kerkow,SVSF,9,8,5,7,,8
GER,8530,Alexander von Mertens,Brad Clarke,StSC,7,7,8,9,,9
GER,8365,Andreas Lehmann,Robert Hanke,VsAW,10,12,9,8,,10
GER,8651,Alexander Schulte,Gerrit Haaland,BYC,12,9,DNF,DNF,,11
GER,8561,Henning Wehke,Ralf Wehke,TSV,11,DNC,DNC,DNC,,12
