Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Place
SWE,8655,Krister Bergström,Rasmus Bergström,GKSS,1,3,1,1,2,1,5,1,1,8,1
SWE,8232,Ebbe Rosen,Olle Wenrup,MKS,3,1,2,2,1,2,4,2,3,13,2
DEN,8551,Jacob Ernst,Jesper Ernst,DENMARK,2,2,3,4,3,6,3,3,4,20,3
SWE,8719,Jakob Lindvall,Kalle Byrenius,NSS,5,4,4,5,4,3,2,6,5,27,4
DEN,8440,Per Larsen,Henrik Andersen,DENMARK,8 DNS,8 DNS,8 DNS,3,8 DNC,4,1,4,2,30,5
SWE,8033,Jan Thews,Kalle Thews,NSS,6,5,5,7,5,7,7,7,6,41,6
SWE,8585,Jan Eriksson,Torbjorn Linderson,NSS,4,8 DNC,8 DNF,6,8 DNC,5,6,5,8 DNC,42,7
