#,helm,crew,club,r1,r2,r3,r4,r5,r6,sum,place
POL 9020,Tomasz Brzozowski,Paweł Choroba,Klub Żeglarski Horn Kraków,1,3*,2,1,1,1,6,1
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,3*,1,1,2,3,3,10,2
POL 8875,Dariusz Konopczak,Piotr Kosobucki,KS Dobra Marina,6,2,3,3,7 DPI*,2 DPI,20,3
POL 8812,Sławomir Plichta,Paweł Prus,Yacht Klub Stal Gdynia,2,7,8,4,2,9*,23,4
POL 8909,Jan Domański,Robert Korybut-Daszkiewicz,JDC,4,5,7*,7,4,5,25,5
POL 8483,Mariusz Michalski,Piotr Duma,Yacht Klub Stal Gdynia,8*,8,5,5,5,8,31,6
POL 8493,Mieczysław Szwed,Mateusz Grużewski,Centrum Żeglarskie Szczecin,9,4,4,6,10 DPI*,6 DPI,33,7
POL 8665,Marcin Panek,Wojciech Denderski,Polskie Stowarzyszenie Klasy 505,5,6,6,10,6 DPI,10 DPI*,37,8
POL 8802,Dominik Ostrowski,Agnieszka Marach,SWOS Warszawa,7,9,9,8,8 DPI*,7 DPI,44,9
POL 8145,Paweł Kluczyński,Dominik Krawiec,AZS Poznań,10,DNF*,DNF,9,9 DPI*,4 DPI,55,10
POL 8906,Tomasz Polikowski,Adam Najmowicz,Yacht Klub Stal Gdynia,DNF*,DNS,DNS,DNS,11,11,67,11
POL 8359,Zbisław Lasek,Wiktoria Lasek,,DNF*,DNS,DNS,DNS,DPI,DPI,75,12
POL 7851,Szymon Janiak,Grzegorz Janiak,,SCP*,SCP,SCP,SCP,DNC,DNC,75,12
POL 376,Jerzy Plewa,Dominika Zielińska,,SCP*,SCP,SCP,SCP,DNC,DNC,75,12
