Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GBR,8774,"Ian Pinnell","Steven Hunt",GWSC,1,1,1,2,1,2,"DNC 43",51,,1
FRA,8564,"Laurent Hay","Pierre-Jean Gallo",YCIdF,2,3,3,1,2,3,13,27,,2
FRA,8802,"Philippe Boite","Fabrice Toupet",CVM,3,2,2,5,3,4,11,30,,3
FRA,8541,"Francis Doerenbecher","Aubin Doerenbecher",CNS,5,6,11,3,4,6,3,38,,4
FRA,8372,"David Ravet","Bertrand Loyal",,4,4,4,16,11,1,6,46,,5
FRA,8431,"Etienne Boyer","Emmanuel Boyer",CVB,11,5,7,8,5,8,4,48,,6
FRA,8687,"Francois Fischer","Jerome Delvaux",CVdP,12,"OCS 43",9,6,7,5,1,83,,7
FRA,8677,"Serge Gubri","Mathieu Bristow",JMIAM,14,8,5,4,15,22,8,76,,8
FRA,8635,"Jean-Baptiste Dupont","Christian Vallaud",AS,6,11,6,12,17,7,12,71,,9
GER,8539,"Hendrik Schultz","Ute Oberländer",SCLW,10,12,8,7,8,"DNC 43",9,97,,10
FRA,8693,"Pierre Soulier","Francis Cornu","YC Carnac",8,"DNC 43",12,15,14,20,2,114,,11
FRA,8683,"Gerard Tilly","Xavier Tilly",,9,10,18,17,22,11,7,94,,12
FRA,8640,"Patrick Perrault","Collin Ludovic",,16,14,10,13,13,10,20,96,,13
FRA,8402,"Bertrand Commeil","Thierry Buand",,17,7,"DNC 43",24,6,16,14,127,,14
FRA,8676,"Marcel Buffet","Jerome Legeai",CVP,7,9,33,20,18,26,10,123,,15
FRA,8684,"Pascal Aubin","Jean-Marc Trihan",CNDP,13,17,15,18,23,12,17,115,,16
FRA,8484,"Philippe Blanchard","Carole Blattner",ACAL,23,22,14,25,9,15,10,118,,17
FRA,8623,"Dominique Rouanne","Eric Brun",,20,19,26,9,10,18,25,127,,18
FRA,8400,"Marc Jouany","Jean-Philippe Ducros",CVdP,"DNC 43",23,21,10,12,14,21,144,,19
FRA,8509,"Pierre Muh","Dominique Keraudren",CNVC,18,18,19,14,19,17,15,120,,20
FRA,8716,"Christian Silvestre","Pierre-Yves Partant",CVB,"DNC 43",26,18,11,16,9,29,152,,21
ZIM,8748,"Alain Serias","Gilles Carvallo",ACAL,19,16,25,23,24,13,18,138,,22
FRA,8704,"Thibault Di Pede","Christian Martenot",,15,13,20,27,31,23,23,152,,23
FRA,8775,"Roblin Ludovic","Franck Dube",STRR,24,"DNC 43",21,22,21,24,19,174,,24
FRA,8449,"Philippe Lucienne","Vivien Lucienne",SRDC,26,29,22,21,26,19,"DNC 43",186,,25
FRA,8761,"Marc Riot","Geoffroy Riot",CNVC,22,20,24,34,29,34,16,179,,26
FRA,8301,"Bernard Blondy","Jean-Marc Noclain",CVA,30,30,17,19,25,31,31,183,,27
FRA,8456,"Jean-Pierre Di Pede","Benjamin Di Pede",CVSP,27,28,31,26,20,27,28,187,,28
FRA,8733,"Michel Boiry","Jean-Claude Ancelot",CVP,29,21,27,28,32,25,30,192,,29
FRA,8133,"Francois De Lisle","Herve Brillaud",CVP,21,15,34,38,34,26,31,199,,30
FRA,8276,"Claude Lafortune","Frederic Pathier",CVSP,28,25,28,30,33,30,34,208,,31
FRA,8103,"Anne Catherine Chaussade","Eric Vassor",Brest,34,27,29,31,27,33,29,210,,32
FRA,8688,"Robert Lehmann","Bernard Edel",ACAL,"DNC 43","DNC 43",23,33,30,28,22,222,,33
FRA,8462,"Olivier Dupuy","Gilles Lasnier",YCCA,33,"DNC 43",32,29,28,29,35,229,,34
GBR,7894,"Pierre-Jerome Coulmin","Peter Vincent",Wind14,31,31,36,37,36,32,33,236,,35
FRA,8427,"Nicolas Des Jaminieres","Laurent Baril",CVML,25,"DNC 43",37,36,37,37,32,247,,36
FRA,8461,"Laurent Bernadac","Tanguy Brodu",CNDS,32,"DNC 43",38,35,35,36,37,256,,37
GER,8148,"Heike Winchenbach","Christoph Klein",SKBUe,"DNC 43","DNC 43",30,32,"DNC 43","DNC 43",27,261,,38
FRA,8336,"Daniel Nouraud","Jean Patrick Stephan",,"DNC 43",29,39,39,38,35,"DNC 43",266,,39
FRA,6367,"Antoine Lafortune","Geraud Lafortune",CVSP,35,32,40,42,"DNC 43","DNC 43",38,273,,40
FRA,7711,"Nicolas Martin","Julien Lafortune",,"DNC 43","DNC 43",35,41,"DNC 43",38,36,279,,41
FRA,8382,"Patrice Hue","Pierre Franzois Hue",,"DNC 43","DNC 43",41,40,"DNC 43","DNC 43"," 43",296,42
