FRA,,Coureurs / Équipage,,club,,points,place
FRA,8802,Boite Philippe,Toupet Fabrice,C V DE MEAUX,,10,1
FRA,,Hay Laurent,Gallo Pierre Jean,Y C ILE DE FRANCE,,14,2
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,,33,3
GER,,Schultz Hendrik,Ziems Ute,ALLEMAGNE,,44,4
FRA,,Gubri Serge,Di Pede Thibault,JEUNESSE ET MARINE,,46,5
FRA,,Fischer Francois,Delvaux Jerome,CV PARIS,,54,6
FRA,,Silvestre Christian,Partant Pierre-Yves,C V BORDEAUX C M,,54,7
FRA,,Dupont Jean Baptiste,Vallaud Christian,CVML,,61,8
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,,73,9
FRA,,Soulier Pierre,Cornu Francois,S R VANNES,,73,10
FRA,,Fossard Robert,Pretot Ludovic,S N BANDOL,,92,11
FRA,,Philippe Lucienne,Bonnet Bruno,S.R.C Sud-Oise,,92,12
FRA,,Buffet Marcel,Viateur Regis,CV PARIS,,98,13
FRA,,Frédéric Veroul,Veroul Jean Jacques,C N VASSIVIERE,,98,14
FRA,,Thierry Buand,Commeil Bertrand,C N B P P,,99,15
FRA,,Gilbert Vinches,Briffoteaux Charles,CVSQ,,100,16
FRA,,Guibbal Pierre,Guibbal Jean Louis,C Y V PARELOUP,,114,17
FRA,,Puissant Jean-Guy,Camusson Laurent,CV LAC 3 PROVINCES,,116,18
FRA,,Perrault Patrick,Perrault Thomas,C.V.S.A.,,118,19
FRA,,Goubault Philippe,Legeai Jerome,A S P T T NANTES,,128,20
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,,131,21
FRA,,Brun Eric,Rouanne Dominique,Y C CAVALAIRE,,134,22
FRA,,Raguet Jacques,Doerenbecher Ivan,C V BORDEAUX C M,,165,23
FRA,,Ludovic Roblin,Siche Noe,S R ROCHELAISES,,180,24
FRA,,Boiry Michel,Girod Stephane,CV PARIS,,185,25
FRA,,Croiset Francois,Patrice Feuvrier,C.N. VIRY CHATILLON,,186,26
FRA,,Dupuy Olivier,Lasnier Gilles,Y C CROUESTY ARZON,,193,27
FRA,,Chartier Jean Philippe,Mathieu Chartier,C Y V PARELOUP,,197,28
FRA,,Duquesne Laurent,Duquesne Philippe,S R ROCHELAISES,,199,29
BEL,,Lasnier Adrien,Lasnier Benjamin,Y C Sablettes,,202,30
FRA,,Nouraud Daniel,Thibaud Cyril,S R ROCHELAISES,,213,31
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,,230,32
