Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6",Brutto,Netto,Place
FRA,8484,"Jean-Marc Paquotte","Alain Beltzung",,2,1,4,3,3,2,15,,1
FRA,8541,"Francis Doerenbecher","Aubin Doerenbecher",CNS,9,4,5,1,1,1,21,,2
FRA,8716,"Christian Silvestre","Pierre-Yves Partant",CVB,4,6,2,2,2,"OCS 16",32,,3
GER,8155,"Tobias Kirsch","Jens Kirsch",SCRR,8,2,3,9,4,4,30,,4
GER,8621,"Stephan Schweiger","Jonas Nissen",SCLW,1,3,1,10,9,9,33,,5
FRA,7941,"Veronique Dousselin","Jean-Pierre Peter",ACAL,5,5,8,5,5,3,31,,6
GER,8691,"Günther Böckle","Frank Heimburger",SSCM,3,7,10,7,6,8,41,,7
FRA,7955,"Philippe Blanchard","Carole Blattner",ACAL,6,"DNF 16",11,4,11,5,53,,8
FRA,8748,"Alain Serias","Gilles Carvallo",ACAL,12,8,6,6,8,11,51,,9
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,10,10,7,15,7,7,56,,10
GER,8098,"Martin Handel","Frank Letsche",SGK,7,"DNC 16",9,8,12,6,58,,11
GER,8473,"Oliver Kraft","Andreas Goggel",SSCM,11,9,12,14,15,"DNF 16",77,,12
GER,8148,"Heike Winchenbach","Christoph Klein",SKBUe,"DNF 16",12,13,13,13,10,77,,13
GER,8108,"Thorge Holm","Rebecca Strahl",BCN,13,11,"DNF 16",12,14,12,78,,14
FRA,8688,"Robert Lehmann","Bernard Edel",ACAL,"DNF 16","DNC 16","DNC 16",11,10,"DNC 16",85,,15
