FRA,,Coureurs / Équipage,,club,,points,place
FRA,,Veroul Frederic,Toupet Fabrice,C N VASSIVIERE,,18,1
GER,,Schultz Hendrik,Ziems Ute,C.N. VIRY CHATILLON,,24,2
FRA,,Gubri Serge,Di Pede Thibault,JEUNESSE ET MARINE,,24,3
FRA,,Gilbert Vinches,Briffoteaux Charles,CVSQ,,27,4
FRA,,Buffet Marcel,Trouillet Damien,CV PARIS,,41,5
FRA,,Noclain Philippe,Noclain Jean Pierre,C V VALENCIENNES,,46,6
FRA,,Silvestre Christian,Partant Pierre-Yves,C V BORDEAUX C M,,50,7
FRA,,Aubin Pascal,Trihan Jean-Marc,C N PENESTIN,,55,8
FRA,,Dupont Jean Baptiste,Vallaud Christian,CVML,,65,9
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,,69,10
FRA,,Boiry Michel,Gallardo Bruno,CV PARIS,,72,11
FRA,,Blondy Bernard,Chabaud Roger,C V VALENCIENNES,,79,12
FRA,,Duquesne Ph,Duquesne Laurent,A S P T T NANTE,,80,13
FRA,,Granchamp Jean Jacques,Seinlary Jean-Michel,C V BORDEAUX C M,,83,14
FRA,,Destombes Gautier,Romieu Francois,SRHAVRE,,94,15
FRA,,Martenot Christian,Lafortune Marie,C V SEINE-PORT,,96,16
FRA,,Noclain Jean Marc,Lesoil Lionel,C V VALENCIENNES,,104,17
FRA,,Molisset Francois,Sotty Dominique,Y C CHERBOURG,,112,18
FRA,,Nouraud Daniel,Siche Noe,S R ROCHELAISES,,134,19
FRA,,Thibaud Cyril,,S R ROCHELAISES,,147,DNA
