FRA,,Coureurs / Équipage,,club,,,points,place
FRA,8802,Boite Philippe,Toupet Fabrice,C V DE MEAUX,,,4,1
FRA,,Ravet David,Loyal Bertrand,S R ROCHELAISES,,,7,2
FRA,,Dupont Jean Baptiste,Vallaud Christian,CVML,,,12,3
FRA,,Commeil Bertrand,Thierry Buand,Y C CARNAC,,,20,4
GER,,Schultz Hendrik,Ziems Use,C.N. VIRY CHATILLON,,,20,5
FRA,,Perrault Patrick,Perrault Thomas,C.V.S.A.,,,25,6
FRA,,Chaussade Anne Catherine,Vassor Eric,USAM Voile Brest,,,31,7
FRA,,Puissant Jean-Guy,Camusson Laurent,CV LAC 3 PROVINCES,,,33,8
FRA,,Soulier Pierre,Cornu Francois,S R VANNES,,,35,9
FRA,,Roblin Ludovic,Siche Noe,S R ROCHELAISES,,,36,10
FRA,,Mercier Gregory,Victor Antoine,C.N. VIRY CHATILLON,,,43,11
FRA,,Boiry Michel,Lemarignier Emeric,CV PARIS,,,54,12
FRA,,Aubin Pascal,Trihan Jean-Marc,C N PENESTIN,,,54,13
FRA,,Vinches Gilbert,,CVSQ,,,58,14
FRA,,Buffet Marcel,Le Mauguen Gael,CV PARIS,,,60,15
FRA,,Riot Marc,Riot Geoffrey,C.N. VIRY CHATILLON,,,73,16
FRA,,Des Jamonieres Nicolas,Romefort Luc,CVML,,,76,17
FRA,,Fischer Francois,Delvaux Jerome,CV PARIS,,,80,DNA
FRA,,Tilly Gerard,Tilly Xavier,A.S.N. PERROS,,,80,DNA
