Country,Boat Number,Gregory,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,38,Alexander Meller,Tom Bøjland,,1,1,2,[3],2,8704 mainsail,9,6,1
FRA,7492,Eric Quémard,Nicolas Picquerey,,5,2,1,[7],4,,19,12,2
FRA,8733,Michel Boiry,Nicolas Vasseur,,3,[7],5,2,3,,20,13,3
GER,6838,Roland Wilde,Beaufrere,,2,6,4,4,[9],,25,16,4
FRA,321,Thierry Trompette,Tanguy Trompette,,[6],3,3,5,5,,22,16,5
FRA,2628,Thierry Muniglia,Crosnier,,7,4,6,[8],6,,31,23,6
FRA,30,Christophe Lepesqueux,Mouloudj,,8,5,7,9,[10],,39,29,7
FRA,8,Marcel Buffet,Lambard,,4,[18 DNS],18 DNS,6,7,,53,35,8
FRA,8709,Jean-Baptiste Dupont,Christian Vallaud,,[18 DNS],18 DNS,18 DNS,1,1,,56,38,9
FRA,3100,Prioul,Enel,,9,9,9,[18 DNS],18 DNS,,63,45,10
FRA,2440,Dominique Loppin,Loppin,,10,11,10,[18 DNS],18 DNS,,67,49,11
FRA,1105,Pierre,Augoyard,,[18 DNS],8,8,18 DNS,18 DNS,,70,52,12
FRA,6830,Victor Antoine,Gregory Mercier,,[18 DNS],18 DNS,18 DNS,10,8,,72,54,13
FRA,1*,Quatremain,Courtois,,11,10,[18 DNS],18 DNS,18 DNS,"No, it is not really number 1. This is a very early home build that was never registered and measured.",75,57,14
FRA,888,Jean Pierre Catinat,Trompette,,[18 DNS],18 DNS,18 DNS,11,11,,76,58,15
FRA,716,Guy Bonin,,,[18 DNS],18 DNS,18 DNS,18 DNS,18 DNS,,90,72,16
FRA,5032,Jean-Luc Mirouf,,,[18 DNS],18 DNS,18 DNS,18 DNS,18 DNS,,90,72,17
