Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8642,"Thoralf Greger","Tobias Quadfaß",ASVG,2,3,1,6,6,1
GER,8651,"Joachim Oetken","Stefan Oetken",FYC,1,5,2,8,8,2
GER,8580,"Kai Adolph","Andreas Achterberg",DTYC,9,1,3,13,13,3
GER,8633,"Frieder Achterberg","Wolfgang Stückl",DTYC,6,4,5,15,15,4
GER,8519,"Robert Wisolek","Thorsten Koch",SCLW,11,2,4,17,17,5
GER,7930,"Christoph Hessel","Anette Hessel",YCU,5,7,6,18,18,6
GER,8575,"Jürgen Waldheim","Bettina Dittemer",PYC,3,9,7,19,19,7
SWE,8475,"Göran Berggren","Jakob Andreas",SCLW,8,6,10,24,24,8
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,7,8,11,26,26,9
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,4,13,15,32,32,10
GER,8777,"Nikolaus Jägersberg","Francisco Sanguino",SCLW,10,10,12,32,32,11
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,14,14,8,36,36,12
GER,8098,"Albrecht Maisch","Frank Letsche",SGK,13,12,13,38,38,13
GER,8572,"Peter Heimbeck","Thomas Heimbeck",SCLW,16,15,9,40,40,14
GER,8518,"Klaus Eifler","Nils Burghard",SCLW,15,11,14,40,40,15
GER,7881,"Christina Friedrich","Nette Jansen",DHH-RG,17,16,16,49,49,16
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,12,"DNF 18","DNC 18",48,48,17
