Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8622,"Lutz Stengel","Frank Feller",ROYC,1,2,1,1,5,,1
GER,8749,"Stephan Krause","Michael Krause",HiSC,2,1,2,7,12,,2
GER,8385,"Martin Bernauer","Harry Brandt",CNFT,3,3,5,2,13,,3
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,"OCS 13",4,3,4,24,,4
GER,8674,"Christian Niefert","Daniel Schnorrenberg",BSV,6,8,4,3,21,,5
GER,8507,"Armin Eismann","Harald Nowka",SCA,7,5,6,10,28,,6
GER,7498,"Alexander Holzapfel","Dirk Ipach",PSVK,"DNF 13",7,7,5,32,,7
GER,8788,"Karsten Lahrs","Christian Labenz",HYC,5,9,8,8,30,,8
GER,8430,"Klaus Heeschen","Stefan Schmidt",WSCW,4,6,"DNC 13","DNC 13",36,,9
GER,8412,"Antje Paulsen","Björn Schaar",BSV,"OCS 13",10,10,6,39,,10
GER,8711,"Carsten Engel","Tobias Neumeyer",PSVK,"OCS 13","DNC 13",9,9,44,,11
GER,8392,"Georg Mittermayer","Conrad Müller",LYC,8,11,"DNC 13","DNC 13",45,,12
