Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Brutto,Netto,Place
GER,8777,Stefan Schollmayer,Martin Eckel,SCMSP,1,2,1,1,1,1,1,8,,1
GER,8471,Daniel Van Bonn,Malte Coers,SKBUE,2,1,2,2,2,2,DNC 13,24,,2
GER,8530,Alexander von Mertens,Margit Falk,StSC,5,3,3,4,3,3,5,26,,3
GER,8450,Jürgen Feuerhake,Wolfgang Kiefaber,YCSb,3,6,5,8,7,5,3,37,,4
GER,7778,Dirk Frank,Stefan Kempf,SCS,4,5,4,5,4,DNF 13,7,42,,5
GER,8148,Heike Winchenbach,Christoph Klein,SKBUe,7,4,6,6,6,6,2,37,,6
GER,8166,Roland Boettcher,Gabi Boettcher,PSVK,9,7,7,3,5,4,4,39,,7
GER,7781,Klaus Spindler,Sieglinde Spindler,SCBO,6,8,9,7,10,7,9,56,,8
GER,606*,Karl-Heinz Sax,Christiane Gießmann,SCBO,12,9,8,9,8,9,8,63,,9
GER,8424,Markus Riotte,Christine Schaal-Lehr,SCBO,8,DNF 13,10,11,9,8,11,70,,10
GER,8330,Oliver Koch,Markus Klos,SCBO,11,10,11,10,11,11,6,70,,11
GBR,8414,Peter Kadau,Alfred Kempf,YCN,10,11,12,12,12,10,10,77,,12
