Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
GER,8622,Lutz Stengel,Frank Feller,ROYC,1,1,1,3,6,,1
GER,8385,Martin Bernauer,Ulf Geisler,CNFT,2,2,2,6,12,,2
GER,8575,Jürgen Waldheim,Bettina Dittemer,PYC,3,3,4,10,20,,3
GER,6786,Hendrik Reinhardt,Axel Schult,SVSF,5,4,3,12,24,,4
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,4,5,5,14,28,,5
GER,8365,Nicole Walkowiack,Robert Hanke,VSW,7,6,6,19,38,,6
GER,8370,Harry Brandt,Christian Barke,OSV,6,8,7,21,42,,7
GER,8634,Gerrit Haaland,Annette Gebauer,HSC,DNF 9,7,DNF 9,25,50,,8
