Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3",Brutto,Netto,Place
GER,8632,"Claas Lehmann","Klaus Stammerjohann",NRV,1,3,5,9,9,1
GER,8725,"Andreas Bock","Rolf Meyer",BYC,5,5,1,11,11,2
GER,8619,"Jens Findel","Johannes Tellen",KYC,8,1,3,12,12,3
GER,8570,"Till Supan","Gregor Dahlem",ETUF,2,4,6,12,12,4
GER,8527,"Tim Steinert","Jens Steinert",ZSK,4,6,4,14,14,5
GER,8127,"Kristine König","Thilo König",BSV,12,2,2,16,16,6
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,3,9,7,19,19,7
GER,8465,"Petra Kliba-Schmidt","Jan-Rolf Schmidt",SKWB,7,10,9,26,26,8
GER,8657,"Georg Neulen","Thorge Holm",WYCA,9,8,10,27,27,9
GER,8549,"Jens Meinert","Jens Wilke",BCN,6,7,"DNC 16",29,29,10
GER,8480,"Sven Hollenbeck","Björn Hollenbeck",WYCD,11,11,8,30,30,11
GER,8590,"Markus Conrad","Johannes Boy",SCNW,10,"DNC 16",11,37,37,12
GER,8412,"Antje Paulsen","Björn Schaar",BSV,13,12,14,39,39,13
GER,7764,"Jan Sell","Wiebke Gewinn",TUSF,15,13,12,40,40,14
GER,8421,"Sandra Nissen","Jan-Eric Nissen",GSC,14,14,13,41,41,15
