Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8580,"Karl Bernhard","Andreas Achterberg",,2,1,1,3,7,,1
GER,8519,"Robert Wisolek","Thomas Loewen",SCLW,1,2,2,2,7,,2
GER,8642,"Thoralf Greger","Matthias Schmederer",ASVG,10,5,3,1,19,,3
GER,8777,"Stefan Schollmayer","Francisco Sanguino",SCMSP,3,4,4,"DNF 20",31,,4
GER,8633,"Axel Hampe","Wolfgang Stückl",DTYC,5,3,6,7,21,,5
GER,8621,"Stephan Schweiger","Johannes Schmederer",SCLW,6,8,5,4,23,,6
GER,8658,"Thomas Klug","Angela Stenger",BYC,4,9,9,8,30,,7
GER,7921,"Jochen Heydolph","Eckhard Busch",SCLW,7,6,10,9,32,,8
GER,8473,"Oliver Kraft","Alexander Göggle",SSCM,11,13,7,5,36,,9
GER,8697,"Hans-Otto Frisch","Achim Funk",SCLW,12,7,8,"DNF 20",47,,10
GER,7442,"Nathalie Friedrich","Claudius Zeiler",SCLW,9,10,12,10,41,,11
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,16,12,14,6,48,,12
GER,8210,"Nikolaus Jägersberg","Wolfgang Hiltscher",SCLW,13,11,11,11,46,,13
GER,8518,"Klaus Eifler","Nils Burghard",SCLW,8,15,15,13,51,,14
GER,7661,"Christina Höll","Alexander Wilhelm",HSC,14,14,13,12,53,,15
GER,7275,"Guido von Walter","Oliver Imbusch",SCLW,18,17,16,14,65,,16
GER,8075,"Markus Schöning","Florian Rdest",SVM,17,16,17,"DNF 20",70,,17
GER,7881,"Christina Friedrich","Tanya Carter",DHH-RG,19,"DNF 20",18,15,72,,18
GER,8148,"Heike Winchenbach","Christoph Klein",SKBUe,15,"DNF 20","DNF 20","DNF 20",75,,19
