Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Punkte,Pl.
GER,8800,Wolfgang Hunger,Holger Jess,PYC,1,2,1,1,1,1,,1
GER,8550,Tom Gosch,Jörg Müller,ENSFV,5,3,4,4,3,2,,2
GER,8619,Jens Findel,Johannes Tellen,KYC,2,5,3,3,20,6,,3
GER,8744,Hans-Heinrich Rix,Steffen Achenbach,TSVS,10,8,2,DNF,2,3,,4
GER,8427,Jörg Häger,Thorsten Drewes,SCB,3,7,7,2,10,13,,5
GER,8414,Stefan Worm,Mathias Kaiser,RYC,7,10,18,6,4,10,,6
GER,8733,Jens Hufnagel,Markus Schöner,ScStM,8,20,10,8,7,9,,7
GER,8583,Nicolai Völckner,Lars Dehne,HSC,4,9,5,DNF,13,13,,8
GER,8749,Stephan Krause,Michael Krause,HiSC,9,4,13,DNF,9,11,,9
GER,8747,Jörg Thumann,Oliver Stieglitz,TuSJ,13,1,14,DNF,14,5,,10
GER,8758,Jürgen Hatje,Ole Günther,KYC,17,11,8,DNF,8,4,,11
GER,8675,Volker Görge,Marlies Endjer,TSVS,15,12,9,10,5,14,,12
GER,8750,Christian Müllejans,Karsten Morf,SVWu,12,18,6,9,16,15,,13
GER,8663,Nørbert Dasenbrook,Sven Meier,KSW,6,17,17,DNF,12,7,,14
GER,8527,Tim Steinert,Jens Steinert,ZSK,16,14,15,DNF,11,8,,15
GER,8741,Hans-Christian Schwieger,Waldemar Schönebeck,NRV,14,6,19,15,17,16,,16
GER,8531,Michael Troch,Eckart König,SGJ,11,13,12,DNF,6,DSQ,,17
GER,8317,Hartwig Friedrichs,Antje Gosch,WSCW,19,21,11,OCS,19,20,,18
GER,8279,Maike Miechelsen,Kay-Enno Brink,WSU,20,16,22,DNF,15,17,,19
GER,8507,Armin Eismann,Tino Käcks,SCA,22,19,21,DNF,18,12,,20
GER,8430,Klaus Heeschen,Frederik Teichmann,WSCW,25,26,16,12,22,18,,21
GER,8674,Christian Niefert,Daniel Schnorrenberg,BSV,27,22,23,5,25,23,,22
GER,8480,Sven Hollenbeck,Björn Hollenbeck,WYCD,21,DNF,DNF,7,24,19,,23
GER,6786,Hendrik Reinhardt,Axel Schult,SVSF,24,25,24,13,26,21,,24
GER,8108,Thorge Holm,Rebecca Strahl,BCN,26,23,25,11,29,24,,25
GER,7801,Christiane Giefers,Mirja Borgelt,SVPB,29,28,29,14,23,25,,26
GER,8657,Melanie Horstmann,Georg Neulen,HSC,18,15,20,DNF,RAF,DNF,,27
GER,8385,Martin Bernauer,Kerstin Bernauer,CNFT,32,27,26,DNF,21,22,,28
GER,8047,Grietje Therkorn,Kirstin Schirrmacher,CKA,23,24,28,DNF,27,26,,29
GER,8470,Bernd Lenz,Roland Herrmann,SLRV,33,32,30,16,32,29,,30
GER,8071,Elke Schott,Harald Schott,SVS,28,30,31,DNF,28,27,,31
GER,8634,Gerrit Haaland,Annette Gebauer,HSC,30,31,32,DNF,30,28,,32
GER,7631,Rolf Lange,Michael Kärgel,PSC,31,29,27,DNF,31,DNF,,33
