Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2",Brutto,Netto,Place
GER,8385,"Martin Bernauer","Ulf Geisler",CNFT,1,1,2,2,1
GER,8507,"Armin Eismann","Tino Käcks",SCA,3,2,5,5,2
GER,8575,"Jürgen Waldheim","Bettina Dittemer",PYC,2,"DNC 9",11,11,3
GER,8365,"Andreas Lehmann","Robert Hanke",VsAW,4,"DNC 9",13,13,4
GER,8370,"Harry Brandt","Christian Barke",OSV,5,"DNC 9",14,14,5
GER,6786,"Hendrik Reinhardt","Axel Schult",SVSF,6,"DNC 9",15,15,6
GER,8433,"Jürgen Anton","Stefan Worm",HSC,7,"DNC 9",16,16,7
GER,8533,"Roger Bussenius","Martin Maal",SCOH,8,"DNC 9",17,17,8
