Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8665,"Claas Lehmann","Klaus Stammerjohann",NRV,1,1,1,1,1,5,,1
GER,8414,"Stefan Worm","Mathias Kaiser",RYC,3,2,2,4,2,13,,2
GER,7498,"Alexander Holzapfel","Dirk Ipach",PSVK,7,5,5,6,4,27,,4
GER,8662,"Jan Stölken","Matthias Brühl",SCU,4,6,"DNC 14",3,8,35,,5
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,11,3,7,5,7,33,,6
GER,8297,"Steve Kwee","Henrik Masekowitz",HSC,6,11,6,8,5,36,,7
GER,7035,"Michael Köritz","Boris Herrmann",USCO,5,8,3,10,"DNC 14",40,,8
GER,8563,"Klaus Heeschen","Simone Brunner",WSCW,13,7,8,7,9,44,,9
GER,7760,"Thomas Kranich","Moritz Kranich",SGR,9,9,10,11,6,45,,10
GER,8433,"Jürgen Anton","Georg Neulen",HSC,8,10,12,9,11,50,,11
GER,7746,"Cornelius Heeschen","Bruno Landage",KYC,"DNF 14",12,11,12,10,59,,12
GER,8421,"Sandra Nissen","Jan-Eric Nissen",GSC,12,13,9,13,12,59,,13
GER,7129,"Oliver Kranich","Tobias Kranich",SGR,10,14,13,14,13,64,,14
