Country,"Boat Number",Helm,Crew,Club,"Race 1",Brutto,Netto,Place
GER,8619,"Jens Findel","Johannes Tellen",KYC,1,1,1,1
GER,8632,"Claas Lehmann","Klaus Stammerjohann",NRV,2,2,2,2
GER,8527,"Tim Steinert","Jens Steinert",ZSK,3,3,3,3
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,4,4,4,4
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,5,5,5,5
GER,8608,"Bernd Rasenack","Gunther Wellmann",ZSK,6,6,6,6
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,7,7,7,7
GER,8751,"Markus Mühlbauer","Andre Fischer",DTYC,8,8,8,8
GER,8546,"Dirk Hänsgen","Frank Rupprich",SVPB,9,9,9,9
GER,8441,"Rainer Gerdes","Lars Dehne",SSCK,10,10,10,10
GER,8590,"Markus Conrad","Johannes Boy",SCNW,12,12,12,12
GER,8528,"Andre Tirre","Frank Wille",YCS,13,13,13,13
