Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,"DNF 14",2,2,2,1,21,,1
GER,8744,"Hans-Heinrich Rix","Steffen Achenbach",TSVS,4,4,1,1,2,12,,2
GER,8730,"Jens Hufnagel","Eckart König",ScStM,2,1,"OCS 14",3,5,25,,3
GER,8465,"Petra Kliba-Schmidt","Jan-Rolf Schmidt",SKWB,5,6,4,4,3,22,,4
GER,8788,"Peter Gerdts","Karsten Lahrs",HSC,8,3,5,7,4,27,,5
GER,8674,"Christian Niefert","Daniel Schnorrenberg",BSV,3,5,7,6,8,29,,6
GER,8675,"Karsten Morf","Heike Jansen",CKA,1,7,3,"DNC 14","DNF 14",39,,7
GER,8392,"Georg Mittermayer","Konrad Barop",LYC,6,8,"OCS 14",8,6,42,,8
GER,8657,"Georg Neulen","Andre Tirre",WYCA,9,10,6,5,"DNF 14",44,,9
GER,8470,"Bernd Lenz","Thomas Brodersen",SLRV,10,9,8,9,7,43,,10
GER,8047,"Grietje Therkorn","Kirstin Schirrmacher",CKA,7,11,9,"DNC 14","DNC 14",55,,11
GER,8590,"Markus Conrad","Johannes Boy",SCNW,11,"DNF 14","DNC 14","DNC 14",9,62,,12
GER,6805,"Andreas Jungclaus","Frank Ströbing",HSC,12,12,10,"DNF 14","DNC 14",62,,13
