,Boot,Steuermann,Vorschoter,Club,Platzierungen,Punkte,Pl.,,,
GER,8651,Joachim Oetken,Stefan Oetken,FYC,6,1,3,1,,1
GER,8441,Niels Ansgar Maisch,Rainer Gerdes,YCO,4,6,1,3,,2
GER,8621,Stephan Schweiger,Johannes Schmederer,SCLW,1,3,4,9,,3
GER,87*,Ronald Roos,Kirsten Roos,SVWu,7,2,2,6,,4
GER,8571,Morten Bogacki,Wolfgang Bogacki,DYC,2,4,5,5,,5
BEL,8649,Bart Meyndonck,Chris Lehouck,VVWH,DNC,5,6,2,,6
GER,8549,Jens Meinert,Jens Wilke,BCN,5,16,8,4,,7
GER,8633,Frieder Achterberg,Wolfgang Stückl,DTYC,12,7,9,7,,8
GER,8788,Peter Gerdts,Karsten Lahrs,HSC,9,12,7,8,,9
GER,8480,Sven Hollenbeck,Björn Hollenbeck,WYCD,8,10,11,11,,10
GER,8751,Markus Mühlbauer,Andre Fischer,DTYC,3,8,DNC,DNC,,11
GER,8750,Christian Müllejans,Thomas Jung,SVWu,15,9,10,12,,12
GER,8222,Andre Teutenberg,Sven Werenbrecht,YCWM,11,13,13,10,,13
GER,8343,Sven Bräcker,Silke Keveloh,SVWu,13,11,14,13,,14
GER,8108,P. Tscherneck,Thorge Holm,SCL,14,15,12,14,,15
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,10,17,17,DNC,,16
GER,7801,Christiane Giefers,Jens Krause,SVPB,16,14,15,15,,17
GER,8414,Dirk Kaiser,Mathias Kaiser,DSCL,17,18,16,DNC,,18
