Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5","Race 6","Race 7",Brutto,Netto,Place
GER,8730,"Jens Hufnagel","Markus Schöner",ScStM,4,8,3,8,4,1," 35",63,1
GER,8531,"Michael Troch","Eckart König",SGJ,5,5,4,7,8,3," 35",67,2
GER,8550,"Tom Gosch","Antje Gosch",ENSFV,2,6,1,14,2,"OCS 35"," 35",95,3
GER,8750,"Christian Müllejans","Thomas Jung",SVWu,9,4,16,1,1,11," 35",77,4
GER,8527,"Tim Steinert","Jens Steinert",ZSK,12,9,6,6,3,4," 35",75,5
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,3,11,8,3,11,7," 35",78,6
GER,8675,"Volker Görge","Marlies Endjer",TSVS,7,2,12,9,12,5," 35",82,7
GER,8663,"Norbert Dasenbrook","Sven Meier",KSW,21,7,20,2,5,2," 35",92,8
GER,8758,"Jürgen Hatje","Ole Günther",KYC,8,12,2,15,7,"DNC 35"," 35",114,9
GER,8711,"Carsten Engel","Tobias Neumeyer",PSVK,13,15,9,5,10,8," 35",95,10
GER,8657,"Melanie Horstmann","Georg Neulen",HSC,"DNC 35",17,18,12,6,6," 35",129,11
GER,8747,"Jörg Thumann","Oliver Stieglitz",TuSJ,11,3,7,4,"DNC 35","DNC 35"," 35",130,12
GER,8712,"Siegfried Labenz","Christian Labenz",SVWu,16,18,11,17,14,12," 35",123,13
GER,8662,"Jan Stölken","Matthias Brühl",SCU,16,27,10,9,9," 35"," 35",141
GER,8788,"Peter Gerdts","Karsten Lahrs",HSC,14,10,19,13,15,"DNF 35"," 35",141,15
GER,7498,"Alexander Holzapfel","Dirk Ipach",PSVK,19,20,13,20,13,13," 35",133,16
AUS,8280,"Michael Quirk","Norman Rydge",MHYC,1,1,5,"DNC 35","DNC 35","DNC 35"," 35",147,17
GER,8224,"Lars Thiel","Annette Thiel",ZSV,24,21,24,16,16,10," 35",146,18
GER,8478,"Kai-Uwe Weiss","Kalle Sass",HSV,17,26,23,19,19,14," 35",153,19
GER,8441,"Rainer Gerdes","Stefan Worm",SSCK,10,13,10,"DNC 35","DNC 35","DNC 35"," 35",173,20
GER,8297,"Steve Kwee","Henrik Masekowitz",HSC,29,25,28,"DNF 35",18,15," 35",185,21
GER,8528,"Andre Tirre","Frank Wille",YCS,22,29,26,21,17,"DNF 35"," 35",185,22
GER,8575,"Jürgen Waldheim","Bettina Dittemer",PYC,15,14,15,"DNF 35","DNC 35","DNC 35"," 35",184,23
GER,7548,"Kristine König","Thilo König",BSV,26,24,17,18,"DNC 35","DNC 35"," 35",190,24
GER,8741,"Hans-Christian Schwieger","Jörg Siebert",NRV,20,22,14,"DNC 35","DNC 35","DNC 35"," 35",196,25
GER,8674,"Christian Niefert","Daniel Schnorrenberg",BSV,18,27,21,"DNC 35","DNC 35","DNC 35"," 35",206,26
GER,8412,"Antje Paulsen","Björn Schaar",BSV,23,19,30,"DNC 35","DNC 35","DNC 35"," 35",212,27
GER,8634,"Gerrit Haaland","Stefan Wolf",HSC,30,31,31,"DNF 35",20,"DNF 35",28,210,,28
GER,8414,"Florian Sigmund","Mathias Kaiser",,28,23,22,"DNC 35","DNC 35","DNC 35",29,207,,29
GER,7801,"Christiane Giefers","Stefan Giefers",SVPB,25,28,29,"DNC 35","DNC 35","DNC 35"," 35",222,30
GBR,8705,"Ian Dunn","Simon Lake",HISC,6,"DNC 35","DNC 35","DNC 35","DNC 35","DNC 35"," 35",216,31
GER,8430,"Klaus Heeschen","Igmar Schulz",WSCW,"DNC 35","DNC 35","DNC 35",11,"DNF 35","DNC 35"," 35",221,32
GER,8549,"Jens Meinert","Thomas Sobott",BCN,"DSQ 35",30,25,"DNC 35","DNC 35","DNC 35"," 35",230,33
GER,8664,"Franziska Unkelbach","Markus Landgrebe",KYC,27,"OCS 35","DNC 35","DNC 35","DNC 35","DNC 35"," 35",237,34
