Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Points Total,Points Netto,Place
GER,9251,Jan-Philipp Hofmann,Felix Björn Brockerhoff,,2,1,1,1,1,3,1,[5 ],,15,10,1
GER,8992,Lutz Stengel,Frank Feller,,1,2,8,2,4,1,2,[11 ],,31,20,2
GER,9057,Geeske Genrich,Johannes Kindermann,,[18 ],9,4,4,8,7,6,2,,58,40,3
GER,9198,Michael Daisenberger,Johannes Tellen,,5,6,11,11,[19 ],2,3,8,,65,46,4
GER,9258,Alexander Holzapfel,Arne Wittemer,,[19 ],8,2,10,2,15,8,3,,67,48,5
GER,9070,Stefan Köchlin,Andréas Achterberg,,25,3,3,[45 ]BFD,3,5,11,4,,99,54,6
DEN,9055,Fabiola van Wonterghem,Michael van Wonterghem,,6,[18 ],7,15,6,13,7,1,,73,55,7
GER,9256,Jens Biederer,Aron Tellen,,4,11,[45 ]BFD,3,10,4,4,25,,106,61,8
GER,8669,Nils-Henning Hofmann,Mathias Weidenbach,,16,4,10,[21 ],16,10,5,12,,94,73,9
DEN,9244,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,21,[23 ],6,5,5,6,9,21,,96,73,10
GER,9260,Tim Böger,Finn Böger,,3,7,[45 ]BFD,7,13,9,10,26,,120,75,11
GER,9189,Hendrik Schultz,Ute Oberländer,,7,12,5,[16 ],14,12,14,14,,94,78,12
GER,9197,Nicola Birkner,Angela Stenger,,9,16,9,12,[24 ],18,16,6,,110,86,13
GER,9268,Henrik Schade,Sebastian Wiemer,,[30 ],15,21,9,7,8,13,16,,119,89,14
DEN,9025,Christian Seilman,Henrik Thomasen,,14,5,18,8,12,22,[25 ],17,,121,96,15
GER,8903,Steve Kwee,Hanno Weimer,,8,24,[30 ],6,9,21,24,10,,132,102,16
GER,9231,Stefan Giesler,Frank Böhm,,15,10,17,13,[25 ],11,23,13,,127,102,17
GER,8928,Andreas Porth,Martin Lietz,,23,20,12,20,15,[25 ],12,9,,136,111,18
BEL,8613,Kim Van Assche,Tessa Liebens,,10,21,13,18,[28 ],26,17,20,,153,125,19
GER,9131,Jörn Wille,Martin Bergmann,,12,[30 ],15,19,22,20,18,24,,160,130,20
GER,9234,Norbert Dasenbrook,Sven Meier,,13,22,16,14,23,16,[31 ],27,,162,131,21
DEN,8827,Torben Pihl,Klaus Søndergaard,,[28 ],14,19,24,17,14,28,18,,162,134,22
GER,9182,Alexander Swade,Christoph Swade,,[29 ],13,14,28,20,24,19,19,,166,137,23
GER,9280,Nicolai Völckner,Andreas Schmidt,,17,[31 ],31,25,26,19,22,15,,186,155,24
GER,9152,Anika Wollenbecker,Raik Wollenbecker,,27,25,28,23,21,17,15,[32 ],,188,156,25
SWE,9259,Mikael Gustafsson,Tore Reinhold,,20,19,[45 ]BFD,17,11,27,20,45 DNS,,204,159,26
GER,9066,Peter Gerdts,Christian Labenz,,26,[29 ],29,22,29,29,21,7,,192,163,27
DEN,8232,Jonas Christiansen,Brian Sørensen,,24,27,22,[30 ],18,28,26,22,,197,167,28
AUS,9225,Lindsay Gilbert,Murray Gilbert,,[38 ],26,27,29,30,23,27,28,,228,190,29
GER,8806,Anna Hauschild,Anja Stengel,,31,[34 ],23,31,32,30,29,23,,233,199,30
POL,9135,Dariusz Konopczak,Paweł Henszke,,22,17,24,27,27,[45 ]DNS,45 DNS,45 DNS,,252,207,31
GER,8932,Christian Henge,Katharina Menge,,[34 ],28,32,34,31,31,30,31,,251,217,32
GER,8519,Silvio Hilbrich,Marcus Wagner,,33,[38 ],26,35,38,34,34,30,,268,230,33
GER,9021,Hendrik Schürkötter,Robert Jacob Feller,,[37 ],33,33,36,35,32,33,33,,272,235,34
DEN,9174,Jesper Bülow,Søren Asboe Jørgensen,,11,35,34,26,[45 ]DNF,45 DNF,45 DNF,45 DNF,,286,241,35
GER,9040,Harald König,Felix Weissensteiner,,39,36,36,37,[45 ]DNS,33,35,29,,290,245,36
GER,8518,Achim Funk,Michael Probst,,36,[39 ],37,39,34,35,32,35,,287,248,37
GER,8997,Nadine Dresp,Ingolf Dresp,,40,40,38,38,36,[45 ]DNF,36,34,,307,262,38
GER,8825,Andréas Jungclaus,Joscha Mudrack,,35,37,35,33,33,[45 ]DNS,45 DNS,45 DNS,,308,263,39
DEN,9243,Per Larsen,Christian Mogensen,,[45 ]DNF,45 DNF,20,32,45 DNF,45 DNF,45 DNF,45 DNF,,322,277,40
DEN,9224,Christian Kongsbak Poulsen,Mads Christiansen,,[45 ]DNF,32,25,45 DNF,45 DNF,45 DNF,45 DNF,45 DNF,,327,282,41
DEN,9014,Sylvester Holm,Agnete Schlichtkrull,,32,[45 ]DNF,45 DNF,45 DNF,45 DNF,45 DNF,45 DNF,45 DNF,,347,302,42
DEN,9109,Hans Genefke,Søren Hjorth,,[45 ]DNF,45 DNF,45 DNF,45 DNF,37,45 DNF,45 DNF,45 DNF,,352,307,43
GER,9159,Nele Söker,Daniel Labhart,,[45 ]DNS,45 DNS,45 DNS,45 DNS,45 DNS,45 DNS,45 DNS,45 DNS,,360,315,44
