,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,8772,Ronald Roos,Kirsten Roos,SVWu,1,2,1,1,1,,1
GER,8901,Nicola Birkner,Wolfgang Stückl,SVaW,2,1,2,2,2,,2
GER,8775,Carsten Engel,Tobias Neumeyer,PSVK,3,5,3,6,4,,3
GER,8441,Rainer Gerdes,Frank Scheel,SSCK,4,6,6,3,3,,4
GER,8463,Frieder Achterberg,Arne Lanatowitz,DTYC,8,3,4,4,8,,5
GER,8807,Reiner Brockerhof,Wolfgang Bogacki,DUYC,5,4,5,5,6,,6
GER,8625,Falko Braun,Gina Hess,,6,7,7,9,10,,7
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,7,9,8,7,7,,8
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,DNF,DNF,DNF,8,5,,9
GER,8527,Hartmut Weiß,Volker Weiß,SCLW,9,8,9,10,9,,10
