Sail,Number,Team,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Netto,Total,Position
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M,[4],1,3,2,1,1,1,9,13,1
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,1,2,1,1,[10],2,2,9,19,2
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,2,3,2,[12 OCS],2,3,4,16,28,3
FIN,9212,Sofia Toroi,Matias Mikkola,NJK,3,[6],5,5,3,4,3,23,29,4
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,5,7,4,3,5,[9],5,29,38,5
FIN,8466,Hannu Pöyry,Ari Dillemuth,VVK,[12 DNF],5,6,4,4,6,7,32,44,6
FIN,7922,Olle Martonen,Mikael Nylund,WSF,[9],9,7,6,6,5,6,39,48,7
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,7,4,[12 DNF],7,7,7,12 OCS,44,56,8
FIN,8741,Taru Karttunen,Thomas Jouanny,HSS,8,[10],8,8,8,10,8,50,60,9
FIN,8430,Raimo Raita,Juha Nurmela,Vene[71],6,8,[12 DNF],12 DNC,9,8,12 DNF,55,67,10
FIN,8*,Inka Näkkäläjärvi,Antti Hänninen,M,[12 DNF],12 DNF,12 DNF,12 DNS,11,12 DNF,12 DNF,71,83,11
