,Purjenumero,Venekunta,Seura,R1,R2,R3,R4,R5,Yht,N,Nr,
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,1.0,1.0,(3.0),1.0,1.0,7.0,4.0,1
FIN,9069,Rosemarie Hartman,Tuomas Laurila,M / EMK,2.0,2.0,1.0,(3.0),3.0,11.0,8.0,2
FIN,8678,Tatu Miettinen,Arno Niiranen,LPS,3.0,3.0,2.0,2.0,(4.0),14.0,10.0,3
FIN,8907,Mikko Laine,Ilkka Tuomi,TPS,(4.0),4.0,4.0,4.0,2.0,18.0,14.0,4
