,Purjenumero,Venekunta,,Seura,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,Yht,N,Nr
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,1.0,1.0,1.0,1.0,(3.0),1.0,(2.0),1.0,1.0,1.0,13.0,8.0,1
FIN,9069,Tuomas Laurila,Timo Vennonen/Inka Näkkäläjärvi,M,2.0,2.0,2.0,2.0,1.0,(4.0),(3.0),2.0,2.0,2.0,22.0,15.0,2
FIN,8466,Hannu Pöyry,Matti Dillemuth,VVK,(4.0),3.0,(4.0),4.0,2.0,2.0,1.0,,3.0,3.0,26.0,18.0,3
FIN,8430,Clarence Holmstrom,Juha Nurmela,BSF,3.0,(4.0),3.0,3.0,(4.0),3.0,4.0,3.0,4.0,4.0,35.0,27.0,4
FIN,8659,Inka Näkkäläjärvi,Antti Hänninen,M,(6.0) DNC,(6.0) DNC,6.0 DNF,6.0 DNC,6.0 DNC,6.0 DNC,6.0 DNC,6.0 DNC,6.0 DNC,6.0 DNC,60.0,48.0,5
