Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GBR,4082,Derek Farrant,Robin Farrant,England,1,1,6,23,8,6,37.4,1
USA,0,Dave Vickland,Pingree,Palo Alto,19,5,3,3,3,7,40.1,2
GBR,0,Peter Bainbridge,,England,2,7,5,DNF,2,13,48,3
USA,0,Ray Pingree,,Santa Cruz,DSQ,10,7,2,11,1,49,4
SWE,3316,Stefan Sjöström,Reine Andersson,Sweden,8,4,1,8,7,9,49,5
USA,0,Dick Deaver,,Seal Beach,27,6,2,6,4,10,50.4,6
USA,0,Dennis Surtees,,Palo Alto,6,2,4,DNF,18,3,52.4,7
FRA,0,Marcel Buffet,,France,13,42,9,1,5,8,57,8
AUS,0,Rod Dalgleish,,Australia,11,62,8,5,1,11,58,9
GBR,0,Mike Derry,,England,4,3,11,10,20,DNF,72.7,10
