Nation,Boat,Hem,Crew,City,Race 1,Race 2,Race 3,Total,Place
SWE,3417,Källfeldt,Kopp,Göteborg,2,4,1,7,1
SWE,3638,Robertson,Stenesjö,Göteborg,3,1,8,12,2
SWE,3505,Westerlind,Särneö,Göteborg,4,6,3,13,3
SWE,3723,Kihlmark,Arnborg,Stockholm,10,5,4,19,4
SWE,3485,Forsell,Anderberg,Göteborg,6,2,12,20,5
SWE,3420,Heuman,Holmberg,Göteborg,1,8,13,22,6
SWE,3683,Andersson,Petersson,Göteborg,12,9,5,26,7
SWE,3639,Sjöström,Andersson,Göteborg,13,15,2,30,8
SWE,2054,Westerlund,Vesterlund,Stockholm,11,3,17,31,9
SWE,2784,Lindström,Niklasson,Stockholm,8,14,9,31,10
SWE,2962,Levy,Friis,Stockholm,7,18,7,32,11
SWE,2832,Wåhlander,Wennerstad,Stockholm,14,16,6,36,12
SWE,3722,Thambert,Axelsson,Stockholm,9,17,11,37,13
SWE,3698,Nordström,Seyfarth,Stockholm,18,7,20,45,14
FIN,3274,Weber,Finell,Finland,20,11,15,46,15
SWE,3323,Magnus Olsson,Göran Olsson,Stockholm,17,13,18,48,16
SWE,3591,Larsson,Andersson,Stockholm,15,10,u,25,17
SWE,3657,Åhrén,Axelsson,Göteborg,21,19,10,50,18
SWE,1969,Wincrantz,Wincrantz,Stockholm,5,23,u,52,19
FIN,3170,Knorring,Trapp,Finland,19,20,14,53,20
SWE,2437,Roman,Thorsén,Stockholm,16,22,16,54,21
SWE,3466,Sandberg,Åkerman,Stockholm,-,12,-,60,22
SWE,3538,Hägglund,Andersson,Stockholm,-,21,19,64,23
