,Sail Number,Sailors,,Club/Org,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Boat Name,Total,Nett,Rank
USA,7*,Pierre Jeangirard,Sugar Flanagan,PCYC,[5.0],2,1,1,3,2,1,1, ,16,11,1st
CAN,8866,Harry Coleman,Charles Hansen,RHKYC,2,3,[4.0],4,1,1,3,4,Non Sequitur,22,18,2nd
CAN,7353,Cynthia D,Ian Plumbley,KYC,1,[5.0],3,2,4,3,2,3,Grump Old Men,23,18,3rd
USA,8439,Christian Pittack,Anne Fitzpatrick,PCYC,4,1,2,3,[5.0],4,4,2,Yes Dear!,25,20,4th
USA,8631,Andrea Reiter,Tom Crawford,Cyc,3,4,[5.0],5,2,5,5,5,FB Incognito,34,29,5th
