Nation,"Sail#
#voile","Skipper
Barreur","Crew
Équipier",Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,Total,NetT,"Rank
Rang"
USA,8856,Ethan Bixby,Chris Brady,St. Pete Sailing Center,1,1,1,1,1,1,(19 DNC), , ,25,6,1
USA,9186,Dave Kirkpatrick,Keith Longson,Sail Newport,2,-3,2,2,2,2,1, , ,14,11,2
USA,9095,Macy Nelson,Nate Barton,West River Sailing Club,3,2,3,3,-6,3,4, , ,24,18,3
CAN,7606,Robert Bartlewski,Andrew Gesing,OHCC,4,4,4,4,4,-5,2, , ,27,22,4
CAN,8821,Jeff Boyd,Marty ten Hove,Kingston Yacht Club,5,5,-10,5,5,10,3, , ,43,33,5
CAN,9028,Kyber Lovshin,Stephen Lovshin,NSC / BYC,(19 RET),11,5,6,14,6,5, , ,66,47,6
CAN,8696,Debbie Ashby,Dave Adams,Nepean Sailing Club,-10,8,9,8,10,7,7, , ,59,49,7
CAN,8264,Nathaniel Plant,Peter Hale,OHCC,-11,9,8,7,9,9,8, , ,61,50,8
CAN,5*,Evania Lovshin,Shona Moss Lovshin,NSC,8,10,7,9,11,-13,6, , ,64,51,9
CAN,920*,Marie Gendron,David Browne,Nepean Sailing Club,6,6,(19 RET),10,15,11,9, , ,76,57,10
CAN,8850,Douglas Watson,Alex Taylor,OHCC,9,7,12,(19 DNC),12,8,10, , ,77,58,11
CAN,8587,Paul Place,Devlin Lovshin,NSC,(19 RET),13,6,12,7,12,11, , ,80,61,12
CAN,138*,Christian Voyer,Luke Strickland,NSC,7,12,11,11,8,(19 DNS),19 RET, , ,87,68,13
CAN,9138,Marek Balinski,Alex Byczko,OHCC,(19 DNC),19 DNC,19 DNC,19 DNC,3,4,19 DNF, , ,102,83,14
CAN,8610,Shona Weldon,Michael Wonnacott,Nepean Sailing Club,12,14,(19 RET),19 DNC,13,14,12, , ,103,84,15
CAN,7605,Renka Gesing,Luka Manning,KYC,(19 NSC),19 RET,19 RET,19 DNC,16,19 DNC,19 DNC, , ,130,111,16
USA,8814,Lin Robson,Jason Breeden,SPSA,(19 DNC),19 DNC,19 DNC,19 DNC,19 DNC,19 DNC,19 DNC, , ,133,114,17
USA,9005,Thomas Kivney,Gordon Russell,Hingham Yacht Club,(19 DNC),19 DNC,19 DNC,19 DNC,19 DNC,19 DNC,19 DNC, , ,133,114,17
