,SailNo,HelmName,Crew,Club,"19-1 June 19","19-2 June 19","19-3 June 19","19-4 June 19",Boat,Total,Nett,Rank
CAN,138*,Christian Voyer,Kyber Lovshin,NSC,9.0 DNC,2.0,1.0,1.0,Gowabunga,13.0,13.0,1st
CAN,8587,Paul Place,Jacob Livingstone,NSC,1.0,3.0,3.0,9.0 DNC,The Pink Panther Strikes Again,16.0,16.0,2nd
CAN,920*,Marie Gendron,David Browne,NSC,9.0 DNC,1.0,2.0,9.0 DNC,Mystery,21.0,21.0,3rd
CAN,9028,Raphael Hebert,,Britannia YC,9.0 DNC,9.0 DNC,4.0,2.0,Sail#9028,24.0,24.0,4th
CAN,8610,Shona Weldon,,NSC,9.0 RET,9.0 DNC,9.0 DNC,9.0 DNC,Plane Chaos,36.0,36.0,5th
CAN,8735,Brent Beninger,,NSC,9.0 DNC,9.0 DNC,9.0 DNC,9.0 DNC,Spaghetti Factory,36.0,36.0,5th
CAN,8410,Clarissa Bush,,NSC,9.0 DNC,9.0 DNC,9.0 DNC,9.0 DNC,Bandersnatch,36.0,36.0,5th
CAN,8821,Jeff Boyd,,Kingston YC,9.0 DNC,9.0 DNC,9.0 DNC,9.0 DNC,Grace too,36.0,36.0,5th
