,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Sum,Platz
SUI,8954,Florian Stauffer,Philippe Jacot,CVN,3,2,3,8,1
SUI,8543,Cedric Bart,Veli Marti,CNB,1,1,10,12,2
SUI,8569,Rene Betschen,Lionel Hollinger,CNB,10,3,1,14,3
GER,8843,Helen Fischer,Lars Dehne,BYC,8,5,2,15,4
FRA,9024,Claude Gachet,Kleber Valery,YCG,4,4,11,19,5
FRA,8844,Xavier Broise,Nicolas Des Jaminieres,,2,9,9,20,6
GBR,9032,Ian Pinnell,Gilles Carvallo,GWSC,6,8,6,20,7
SUI,8614,Valery Jacot,Corsin Battaglia,CVN,12,10,5,27,8
GER,8463,Mats Westholm,Pedro Bohnenberger,SCLW,7,12,8,27,9
ITA,8916,Enrico Ciferri,Gabriele Natatli,,5,7,17,29,10
FRA,8847,Muriel Agrapart,Frank Agrapart,,16,25,4,45,11
FRA,8427,Frédéric Monnier,Yann Plathier,,15,17,14,46,12
FRA,8909,Francis Doerenbecher,Philippe Wolff,CNS,17,11,19,47,13
SUI,8997,Uwe Hoffmann,Yoann Roux,WSVR,9,6,OCS 33,48,14
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,13,15,20,48,15
BEL,8880,Geert De Pauw,Koen Jourquin,NWVN,19,16,13,48,16
ITA,8671,Giacinto Piacquadio,Andrea Messina,,27,18,7,52,17
FRA,8704,Elisabeth Neidhart,Martin Aline,,27,18,7,52,18
ITA,8743,Marco Giraldi,Roberto Loce,UVM,23,23,12,58,19
FRA,8348,Mathieu Ingrand,Stanislas Rault,,22,21,15,58,20
GER,8404,Sebastian Gottschalk,Maximilian Gottschalk,SCR,24,14,22,60,21
FRA,8948,Nicolas Guillou,Alain Ferec,SNP,21,13,28,62,22
GER,8473,Oliver Kraft,Frank Heimburger,SSCM,14,24,24,62,23
FRA,8752,Julien Lafortune,Theresa Schmitz,CVSP,18,26,18,62,24
SUI,8077,Catherine Houriet,Gilles Donze,,20,22,23,65,25
GER,8530,Alexander von Mertens,Thierry Gafner,StSC,26,19,27,72,26
GER,7930,Hans Hessel,Max Hessel,,28,28,16,72,27
FRA,8545,Alain Preel,Alexis Preel,,25,28,26,79,28
FRA,8820,Georges Bendiyan,Bernard Edel,ASCL,29,30,25,84,29
GER,8691,Christoph Böckle,Michael Marker,SSCM,30,27,29,86,30
FRA,7849,Cyril Thibaud,Anne Granier,,31,32,30,93,31
GER,8052,Jürgen Feuerhake,Anne Nehrenberg,YCSb,DSQ 33,31,DNC 33,97,32
