NAT,Sejlnummer,Rorsmand,Gast,Klub,R1,R2,R3,R4,R5,R6,R7,Total,Nett,Rank
DEN,9062,Jørgen BojsenMøller,Jacob BojsenMøller,Hellerup,1,1,1,-2,1,1,1,8,6,1st
DEN,8958,Nikolaj Hoffmann Buhl,Henrik Buhl,Hellerup,1,-3,3,1,2,2,2,15,12,2nd
DEN,8828,Michael Wonterghem,Fabiola Wonterghem,Sorø Sejlforening,3,-4,4,4,3,3,3,24,20,3rd
DEN,8232,Jonas Christiansen,Martin Nørgaard Johansen,Hellerup Sejlklub,4,2,5,3,(10 DNC),10 DNC,10 DNC,44,34,4th
DEN,8964,Jan Saugmann,Martin Görge,Hellerup,(10 DNC),10 DNC,2,5,10 DNC,10 DNC,10 DNC,57,47,5th
DEN,6453,Hans Genefke,Jeppe Bo Rasmussen,Skælskør AmatørSejlklub,(10 DNC),10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,70,60,6th
DEN,8440,Mikkel Christiansen,Mads Christiansen,AS,(10 DNC),10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,70,60,6th
DEN,8472,Henrik Eskildsen,Lars Ramvold,Hellerup,(10 DNC),10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,70,60,6th
DEN,9025,Anna Garver,KDY Mark Pedersen,Pedersen,(10 DNC),10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,10 DNC,70,60,6th
