RSA,Sail no,Name Skipper,Name Crew,,R1,R2,R3,R4,R5,R6,Total,Net,Rank
RSA,9063,Markos Progli,Richard Hutton-Squire,,(4),1,3,2,1,1,12,8,1
RSA,8719,Alexander Ham,Jonathan Ham,,2,2,2,1,(3),3,13,10,2
RSA,9094,Peter Funke,Thomas Funke,,1,4,1,3,2,(5),16,11,3
RSA,8789,Michaela Robinson,Warwick Ham,,6,3,5,(DNC),5,2,35,21,4
RSA,8788,David Rae,Steve Van Rensburg,,5,(7),6,4,4,4,30,23,5
RSA,8445,Kyle Klaas,Ferdinand Holm,,3,5,4,(6),6,6,30,24,6
RSA,8486,Ricky Robinson,Tyrone,,7,6,(8),5,7,7,40,32,7
RSA,8406,Bronwen Klaas,G Barnard,,(9),9,7,7,9,8,49,40,8
RSA,8091,Sean Ballentyne,Brevan,,8,8,(9),8,8,9,50,41,9
RSA,7722,Dudley Thompson,Alan Lewthwaite,,(11),11,11,10,10,10,63,52,10
RSA,6756,Daniel Eigelaar,Andre Eigelaar,,10,(13),13,9,11,11,67,54,11
RSA,8587,Andrew Arthur,Ian,,(13),10,12,11,12,12,70,57,12
RSA,4437,Grant Ballentyne,De Wet Nel,,12,12,10,(DNC),DNC,DNC,76,62,13
