Country,Sail Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,Total,Nett,Position
IRL,9039,Chris Bateman,John Coakley,MBSC,1,1,1,3,[5],1,12,7,1
IRL,9011,John Downey,Sandy Rimmington,MBSC,2,[3],3,2,2,3,15,12,2
IRL,8552,Richie Harrington,Sandy O’Brien,MBSC,3,4,2,[5],3,4,21,16,3
IRL,9093,Alex Barry,David Kenefick,MBSC/RCYC,[7 DNC],7 DNC,7 DNC,1,1,2,25,18,4
IRL,7771,Brian Jones,Gary Frost,MBSC,4,2,4,4,4,[5],23,18,5
IRL,9085,Ant Coole,Chris Granby,MBSC,5,5,5,[6],6,6,33,27,6
