Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Boat Name,Points Total,Points Netto,Place
CAN,8261,,,,1,1,,2,2,1
CAN,8587,,,,2,2,,4,4,2
CAN,8698,,,,3,3,,6,6,3
