Nation,SAIL,Skipper,Crew,Club,RACE 1,RACE 2,RACE 3,RACE 4,RACE 5,RACE 6,RACE 7,RACE 8,Points,Netto,POS
CAN,8264,Boyd Jeff,Martin ten Hove,KYC,1,1,1,1,1,1,1,2,9,7,1
CAN,8442,Nelson Macy,Steve Adolph,,2,2,2,2,4,2,DNF,DNF,28,21,2
CAN,8610,Weldon Shona,Michael Wonnac,Nepean Sailing Club,3,DNF,DNF,4,2,3,3,1,30,23,3
CAN,8698,Nick Ware,Christian de Cham,Kingston Yacht Club,4,4,4,3,5,4,5,5,34,29,4
USA,8467,Agrell Michael,Jei Lee,OHCC,DNF,3,3,DNF,DNF,DNF,2,4,40,33,5
CAN,8587,Ware Pat,Kevin Powick,Kingston Yacht Club ,DNF,DNF,DNF,DNF,3,5,4,3,43,36,6
