,SailNo,Helm,Crew,Club,PY,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
RSA,7682,Rob Willcox,Ditmar Herrmann,VLC, ,1,1,2,1,1,(8.0 DNC),14,6,1st
RSA,8340,Graeme Willcox,Craig Soulsby,VLC, ,(2.0),2,1,2,2,1,10,8,2nd
RSA,7457,Phillip Bennett,Mark Abbotts,VLC, ,3,3,3,3,(4.0),2,18,14,3rd
RSA,2416,Jonathan Baer,Roy Dunster,ABYC, ,(8.0 DNC),4,8.0 DNF,5,3,8.0 DNC,36,28,4th
RSA,584*,Craig Parker,Willem Buhrmann,PSC, ,5,6,5,4,(8.0 DNC),8.0 DNC,36,28,5th
RSA,7821,Karl Herrmann,Treffer Rolfe,VLC, ,4,5,(8.0 DNC),8.0 DNS,5,8.0 DNC,38,30,6th
RSA,8440,Andrew Arthur,David Finchan,ESC, ,6,(8.0 DNF),4,6,6,8.0 DNC,38,30,7th
