,SailNo,Helm,Crew,Club,R1,R2,R3,R4,R5,Total,Nett,Rank
RSA,8584,Hans Rogotski,Alan Haylett,PSC,1,(6.0),1,1,1,10,4,1st
RSA,8520,Rudolph Holm,Dietmar Holm,PSC,(DNC),1,2,2,5,18,10,2nd
RSA,6707,Kyle Klaas,Robert Von Gruenewaldt,PSC,2,(5.0),5,4,3,19,14,3rd
RSA,8481,Peter Funke,Thomas Funke,TYC,(DNC),3,4,3,4,22,14,4th
RSA,7682,Rob Willcox,Ditmar Herrman,VLC,3,2,(DNF),DNC,2,23,15,5th
RSA,8707,Albrecht Holm,Warwick Ham,PSC,4,4,3,5,(DNC),24,16,6th
RSA,584*,Bronwen Klaas,Gordon Quarmby,PSC,5,7,6,(DNF),DNC,34,26,7th
