Country,Sail,Skipper,,Boat,Race 1,Race 2,Race 3,Race 4,Race 5,Total Points,Pos
USA,7200,Erika Seamon,,Time is on my Side,1,1,1,1,1,5.00,1
USA,7776,Robert O'Brien,,Banshee,2,2,2,4,7/DNC,17.00,2
USA,7068,Bob Patterson,,Post Call,3,3,3,3,7/DNC,19.00,3
USA,7150,Chris Legg,,,7/DNC,7/DNC,7/DNC,2,2,25.00,4
USA,7092,Dustin Romey,,,7/DNC,7/DNC,7/DNC,7/DNC,3,31.00,5
USA,7606,John Hausey,,Screaming Virgins,4,7/DNC,7/DNF,7/DNC,7/DNC,32.00,6
