Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,TotalPoints,Pos
USA,8715,Ethan Bixby,,,5,1,1,2,4,[6],1,14.00,1
USA,8830,Tim Collins,,,3,3,3,1,[5],1,3,14.00,2
USA,8643,Barney Harris,,,1,2,2,[6],2,4,5,16.00,3
USA,8722,Macy Nelson,,,2,[9],5,4,1,2,7,21.00,4
USA,8629,Henry Amthor,,,6,4,[8],3,3,5,2,23.00,5
CAN,8264,Jeff Boyd,,,4,5,4,5,10,8,[34/DNC],36.00,6
USA,7200,Ali Meller,,,8,8,6,7,[9],3,8,40.00,7
USA,7092,Ramsey Key,,,9,7,9,8,7,9,[13],49.00,8
USA,8628,Keith Davids,,,11,6,7,14,11,[34/DNF],10,59.00,9
USA,7199,Stergios Papadakis,,,17,[19],11,11,12,13,6,70.00,10
USA,6985,Mike Breton,,,7,14,14,9,14,[18],14,72.00,11
USA,8790,John Wyles,,,14,16,15,10,8,[17],9,72.00,12
USA,6230,Craig Thompson,,,13,13,12,18,[34/DNC],7,11,74.00,13
USA,8696,Deborah Ashby,,,15,[22],17,17,6,11,12,78.00,14
CAN,8018,Marg Hurley,,,10,[18],10,16,16,16,17,85.00,15
USA,6934,Robert Ramirez,,,12,11,16,19,21,12,[26],91.00,16
USA,7068,Bob Patterson,,,21,10,18,[23],19,14,21,103.00,17
USA,7093,Garth Reynolds,,,[23],15,20,20,15,15,18,103.00,18
USA,8442,Matt Davidge,,,19,20,[22],15,17,19,20,110.00,19
USA,8641,Nicholas Burke,,,20,[34/DNC],34/DNC,13,13,20,16,116.00,20
CAN,8735,Brent Beninger,,,18,21,19,22,[34/DNF],21,19,120.00,21
USA,7100,Rich Ryon,,,16,12,13,[34/DNC],34/DNC,34/DNC,15,124.00,22
USA,8624,Dave Stetson,,,22,24,21,21,22,[34/DNC],25,135.00,23
USA,8767,Dylan Breton,,,24,17,[34/DNC],12,34/DNC,34/DNC,22,143.00,24
USA,8351,Doug Watson,,,[34/DNC],34/DNC,34/DNC,34/DNF,18,10,24,154.00,25
USA,8316,Nicholas Place,,,27,23,24,24,[34/DNF],34/DNC,23,155.00,26
USA,6987,Tim Williams,,,25,28,[34/DNC],25,20,34/DNC,27,159.00,27
USA,8854,Brendan Connell,,,28,25,23,[34/DNC],23,34/DNC,34/DNC,167.00,28
USA,8829,Tyler Moore,,,[34/DNC],34/DNC,34/DNC,34/DNC,34/DNC,34/DNC,4,174.00,29
USA,8261,Nadine Krupinski,,,31,29,25,[34/DNC],34/DNC,34/DNC,28,181.00,30
USA,7095,Geoff Nelson,,,26,27,26,[34/DNC],34/DNC,34/DNC,34/DNC,181.00,31
USA,8766,Sayo Maldari,,,30,26,[34/DNC],34/DNC,34/DNC,34/DNC,29,187.00,32
USA,7151,Marc Zupan,,,29,[34/DNC],34/DNC,34/DNC,34/DNC,34/DNC,30,195.00,33
