Nation,Sail,Skipper,,,Race 1,Race 2,Race 3,Total Points,Pos
USA,8629,Jesse Falsone,,,1,1,1,3.00,1
USA,86*,Keith Davids,,,3,2,2,7.00,2
USA,7200,Ali Meller,,,2,3,3,8.00,3
USA,7199,Stergios Papadakis,,,4,5,4,13.00,4
USA,7100,Parry Barclay,,,5,4,5,14.00,5
USA,7068,Bob Patterson,,,6,6,6,18.00,6
USA,6985,Michael Breton,,,13/DNC,7,7,27.00,7
USA,7092,Dustin Romey,,,13/OCS,8,8,29.00,8
USA,8865,Nicholas Place,,,13/DNC,9,9,31.00,9
USA,8351,Dony/Chris Waters,,,13/DNC,10,13/DNC,36.00,10
USA,6987,Jay Bergquist,,,13/DNC,13/DNC,13/DNC,39.00T,11T
USA,7776,Robert O’Brien,,,13/DNC,13/DNC,13/DNC,39.00T,11T
