Nation,SailNo,HelmName,CrewName,Boat,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Nett,Rank
AUS,8817,Michael Duffield,Anthony Gaunt,Tensing Norgay,1,1,1,(8 DNC),3,1,(4),2,21,9,1st
AUS,8973,Matthew Hansen,Chris White,Angry Dragon,2,2,2,(8 DNC),1,(4),1,1,21,9,2nd
AUS,9047,Christopher Paterson,Ed Repsevicius,Bird,3,(8 DNF),(8 DNC),8 DNC,4,3,3,8 RET,45,29,3rd
AUS,9192,Mark Stowell,Riley Skipworth,Prawn Broker,(8 DNF),(8 DNC),8 DNC,8 DNC,2,2,2,8 DNS,46,30,4th
AUS,9017,Roger Pell,Byron Maverick,String Theory,4,(8 DNC),(8 DNC),8 DNC,8 DNC,8 DNC,8 DNC,8 DNC,60,44,5th
AUS,8894,Tim Walker,Matt Sumers,The Black Boat,(8 RET),(8 DNC),8 DNC,8 DNC,8 DNC,8 DNC,8 DNC,8 DNC,64,48,6th
AUS,8855,Nicholas Mariani,Andrew Cawley,Epileptic Octopus,(8 DNF),(8 DNF),8 DNC,8 DNC,8 DNC,8 DNC,8 DNC,8 DNC,64,48,6th
