Nation,Boat no,Sternik,Załogant,Klub,W-1,W-2,W-3,W-4,W-5,W-6,W-7,W-8,Sum,,LP
DEN,9023,Tom Bojland,Anders Friis,SKS-BS,*1,1,1,1,1,1,1,1,7,1
POL,7957,Jakub Pawluk,Michał Redmerski,AZS Politechnika Warszawska,3,2,3,3,2,2,3,*5,18,2
GBR,8835,Rafał Becker,Przemek Zagórski,YKP Gdynia,2,*4,4,4,4,3,2,2,21,3
FIN,8736,Raimo Raita,Jukka Suonpia,Venezi Taps,4,* ocs,2,5,6,4,5,4,30,4
P0L,8130,Jarosław Grabowski,Michał Olko,YK Stal Gdynia,6,6,5,2,3,6,*7,7,35,5
POL,8416,Marcin Wojtoniak,Piotr Juckiewicz,YK Stal Gdynia,* dnf,5,7,6,5,5,6,3,37,6
POL,7669,Marcin Józefowski,Jacek Barankiewicz,Spójnia Warszawa /AZS UW,5,3,6,*8,7,8,4,6,39,7
POL,7669,Antonina Żółtowska,Piotr Żółtowski,SKŻ Sopot,7,8,9,7,9,7,8,* dns,55,8
POL,8451,Łukasz Skrzycki,Patrycja Szczepkowska,PSK505,9,7,8,9,8,9,*10,8,58,9
POL,7037,Łukasz Paszko,Grzegorz Stencel,Team Tczew,8,9,10,10,* dnf,dns,9,9,66,10
