Nat SailNo,Helm,Crew,,R1,R2,R3,R4,R5,R6,R7,Nett,Rank
GBR 8908,Mark Upton Brown,Ian Mitchell,,2,4,3,6*,2,2,3,16,1
USA 8266,Howie Hamlin,Jeff Nelson,,10*,5,2,1,4,4,2,18,2
GER 8875,Jens Findel,Johannes Tellen,,5,6,8,8,11,1,14*,39,3
USA 8883,Tyler Moore,Jesse Falsone,,1,114.0 DNF*,16,3,6,7,9,42,4
DEN 8620,Jan Saugman,Morten Ramsbaek,,7,3,12,16*,3,11,6,42,5
AUS 8886,Michael Quirk,Geoff Lange,,4,7,1,10,5,16,114.0 DNF*,43,6
GER 8903,Boris Herrmann,Julien Kleiner,,8,2,7,15,12,3,25*,47,7
GBR 8882,Ian Pinnell,Steve Hunt,,6,9,11,7,10,20*,5,48,8
GBR 8743,Ian Barker,Mark Darling,,14,13,5,20,1,6,28*,59,9
USA 8554,Douglas Hagan,Robert Woelfel,,25,8,6,4,114.0 DNF*,14,13,70,10
GER 8744,Christian Kellner,Heini Rix,,9,14,114.0 DNF*,14,16,8,15,76,11
USA 8822,Mike Holt,Carl Smit,,27*,19,9,9,15,17,17,86,12
SWE 8232,Ebbe Rosen,Olle Wenrup,,12,1,114.0 DNF*,2,7,32,43,97,13
GER 8915,Hasso Plattner,Peter Alarie,,13,17,25,18,13,39*,11,97,14
FRA 8771,Philippe Boite,Fabrice Toupet,,19,30*,10,12,19,28,12,100,15
GER 8862,Stefan Bohm,Gerald Roos,,45*,29,4,5,9,19,39,105,16
GBR 8835,Charlie Walters,Dougal Cram,,26,22,21,26,17,12,29*,124,17
GER 8580,Micki Daisenberg,Andreas Achterberg,,24,21,22,37,114.0 DNF*,10,21,135,18
USA 8831,Pierre Jeangirard,Paul Von Grey,,32,20,29,32,49*,18,10,141,19
GBR 8836,Robin Brown,Neil Fulcher,,58*,18,17,11,21,21,54,142,20
GER 8901,Sophie Soellner,Wolfgang Stuckl,,16,66*,28,41,32,25,1,143,21
GBR 8910,Debbie Darling,Paul Young,,20,23,35,23,8,42,48*,151,22
USA 8660,Ben Moon,Nick Nelson,,17,25,27,24,27,31,114.0 DNF*,151,23
SUI 8543,Cedric Bart,Ueli Marti,,18,15,114.0 DNF*,30,31,43,16,153,24
FIN 8768,Pentti Matti,Otto Toivanen,,40,28,15,47*,41,29,8,161,25
USA 7200,Ali Meller,Mike Coe,,28,35,114.0 DNF*,36,24,23,20,166,26
AUS 8921,Nigel Lott,Bob Franks,,30,12,19,39,39,41*,33,172,27
GER 8843,Jens Hufnagel,Lars Dehne,,38,40,13,27,20,36,114.0 DNF*,174,28
USA 8722,Macy Nelson,Dustin Romey,,33,16,39*,22,38,34,31,174,29
GBR 8773,Andrew Smith,Norman Byrd,,31,39*,33,33,37,15,26,175,30
GER 8466,Niediek Volker,Stefan Heising,,43,26,26,40,114.0 DNF*,9,34,178,31
GBR 8378,Hodgson,,,47,63*,14,21,18,30,50,180,32
SUI 8569,Rene Betschen,Patrick Ducommun,,35,11,32,34,52*,33,37,182,33
USA 8631,Parker Shinn,Garreth Williams,,11,43,47,31,114.0 DNF*,35,18,185,34
SWE 8912,Magnus Nilsson,Andreas Carlsson,,15,50,53,28,33,68*,7,186,35
GER 8686,Christian Niefert,Thomas Weber,,53*,46,30,25,28,27,41,197,36
AUS 8794,Michael Babbage,James McAllister,,68*,58,20,13,22,40,45,198,37
GBR 8834,Russell Short,Andrew Short,,21,27,114.0 DSQ*,60,30,46,27,211,38
GER 8728,Dietrich Scheder,Rainer Goerge,,114.0 DSQ*,10,114.0 DNF,35,26,26,4,215,39
GBR 8905,Stuart Turnbull,Jason Lunn,,22,56,42,66*,56,24,19,219,40
GBR 8741,Toby Dale,James Cole,,63,45,18,45,14,37,114.0 DNF*,222,41
GER 8880,Meike Schomaeker,Robert Rothe,,23,52,114.0 DNF*,29,29,50,40,223,42
DEN 8826,Tom Bojland,Helge Rasmussen,,42,24,37,44*,44,38,38,223,43
AUS 8781,Earle Alexander,Ian Gregg,,56,78*,36,19,34,54,30,229,44
SUI 8729,Florian Stauffer,Phillipe Jacot,,65*,42,24,51,40,52,22,231,45
GBR 8708,Martin Goult,Gordon Russell,,49,49,40,98*,23,13,61,235,46
GBR 8701,Rob Napier,Matt Bristow,,36,51,41,55,25,71*,36,244,47
GBR 8881,Terry Scutcher,Christian Diebitsch,,52,31,114.0 DNF*,17,114.0 DNF,5,32,251,48
GER 8751,Helen Fischer,Angela Stenger,,3,54,70,48,78*,22,57,254,49
FRA 8895,PierreJean Gallo*,Regis Viateur,,44,38,38,49,53*,48,51,268,50
DEN 8656,Henrik Buhl,Johnny Redholm,,59,53,31,46,42,114.0 DSQ*,44,275,51
GER 8904,Jan Forster,Daniel Wehden,,51,47,114.0 DNF*,42,36,66,35,277,52
GBR 8685,Richard Sims,Simon Wood,,61,37,34,53,47,51,75*,283,53
GBR 8678,Richard Williams,Paul Davies,,57,44,114.0 DNF*,38,45,58,42,284,54
AUS 8840,Kevin Cameron,Jeremy Manders,,37,81,48,50,114.0 DNF*,45,24,285,55
GBR 8909,Christopher Dando,Donald Sloan,,48,32,114.0 DNF*,63,46,57,46,292,56
GER 8418,Jan Sell,Stefan Schmidt,,41,60,44,68*,51,47,55,298,57
GBR 8552,Jim Blyth,Donald Aitkin,,62,33,43,57,57,67*,47,299,58
GBR 8885,Ben Illiffe,Simon Lake,,73,80*,23,56,35,59,59,305,59
GBR 8774,John Webster,Robert Burdekin,,34,64,49,DNC*,DNC,53,23,337,60
GBR 8384,Charlie Stewart,Torsten Bastiansen,,46,55,50,69,55,65,74*,340,61
IRL 8429,Michael Ennis,Fenton Parsons,,29,48,114.0 DNF*,86,59,70,69,361,62
GBR 8780,Jack Hayhurst,Adrian Coates,,60,67,56,59,58,114.0 DSQ*,63,363,63
GBR 8490,Ben FarrenPrice,Pete Brooke Houghton,,76,68,52,52,114.0 DNF*,55,66,369,64
USA 8753,Ian McKeige,Douglas McKeige,,50,36,114.0 DSQ*,DNC,69,44,58,371,65
GBR 8650,Terry Selfe,Alan Montague,,87*,76,46,61,50,62,76,371,66
GBR 8694,Ross Kenney,Adam Kenney,,74,61,114.0 DNF*,43,61,63,73,375,67
FRA 8444,Pierre Guibbal,Simon Chartier,,81,59,61,67,60,83*,60,388,68
SWE 8787,Lars Bjerke,Tore Reinhold,,71,65,57,58,68,86*,70,389,69
GER 8662,Jan Stoelken,Matthias Bruehl,,39,73,60,114.0 DNF*,DNC,56,53,395,70
IRL 8408,Ewen Barry,Charles Dwyer,,54,34,114.0 DNF*,54,114.0 DNF,61,83,400,71
GBR 8568,Brian Newlyn,David Williams,,67,57,114.0 DNF*,85,62,64,68,403,72
FIN 8746,Raimo Raita,Juha Nurmela,,75,86*,54,72,75,69,65,410,73
FRA 8521,JeanLouis Guibbal,Matthieu Guibbal,,98*,71,45,62,67,92,85,422,74
FRA 8871,Breele,,,64,88,114.0 DNF*,64,65,79,62,422,75
GBR 8726,Martin Stainsby,Martin Grady,,70,62,114.0 DNF*,74,114.0 DNF,60,52,432,76
FRA 8508,Matthieu Devaux,Philippe Dubuc,,80*,70,74,77,71,73,71,436,77
FRA 8748,Gilles Carvallo,Samuel Carvallo,,95,102*,51,70,48,93,97,454,78
GBR 8497,Bill Oliver,Dennis Cartwright,,85,77,65,76,64,95*,87,454,79
LUX 8534,Pierre Kieffer,Jean pol tousch,,66,89,66,114.0 DNF*,72,80,88,461,80
FRA 8847,Michel Boiry,Chartier Thomas,,100*,79,73,93,77,76,64,462,81
FRA 8677,Alain Champeau,Phillipe leNorment,,92,94,55,73,63,87,100*,464,82
FRA 8603,Jean Philippe Chartier,Alain Chartier,,83,75,71,87*,81,75,84,469,83
GBR 8532,Greg Brown,Ollie Boyes,,96*,87,62,91,70,77,86,473,84
GBR 8305,Tony Power,Stuart Howells,,78,84,64,95,114.0 DNF*,82,72,475,85
USA 8790,John Wyles,Sol Marini,,79,41,114.0 DNF*,114.0 DNF,DNC,49,81,478,86
GBR 8510,Andrew Thorp,Nick Thorp,,88,85,114.0 DNF*,65,43,84,114.0 DNF,479,87
GBR 8514,Ben Jones,David Thorpe,,84,82,114.0 DNF*,96,66,74,77,479,88
FIN 7885,Jari Makela,Teemu Vastamaki,,55,72,DNC*,75,114.0 DNF,DNC,56,486,89
GBR 8907,Jim Berry,Richard Berry,,82,95,58,82,114.0 DNF*,91,79,487,90
GBR 8869,Martin Wedge,Scott Allen,,77,69,114.0 DNF*,71,114.0 DNF,78,78,487,91
GBR 8231,Ian Pavey,Neil Manning,,93*,83,63,92,74,85,92,489,92
GBR 8749,Alastair Milton,Laurence Milton,,89,90,114.0 DNF*,79,54,90,89,491,93
GBR 7789,Brett Townsend,Andy Denniss,,86,74,114.0 DNF*,80,114.0 DNF,72,67,493,94
GER 8607,Antje Paulsen,Bjorn Schaar,,103*,96,59,81,73,97,96,502,95
GBR 7544,Peter Halliwell,David Miller,,94,99*,68,89,76,94,82,503,96
FRA 8635,Herve de Kergariou,Jaques Gillet,,114.0 DNS*,DNC,72,78,114.0 DNF,81,49,508,97
BEL 8352,Benoit Raucent,Philippe Chevalier,,104*,101,75,90,82,88,94,530,98
FRA 8120,Jacques Armengaud,Louis Armengaud,,105*,104,69,88,80,100,91,532,99
GBR 8435,Patrick McGale,Alex Cull,,102,98,67,84,114.0 DNF*,96,99,546,100
ITA 8097,Marco Giraldi,Gabriele Cortegiani,,91,114.0 DNS*,DNC,94,83,89,90,561,101
GBR 8556,David Ryder,Michelle Ryder,,97,93,114.0 DNF*,83,114.0 DNF,99,101,587,102
GBR 8234,Shaun Seear,Stuart Curtis,,106,106,114.0 DNF*,97,79,103,102,593,103
GBR 8906,Harry Briddon,Simon Briddon,,90,91,114.0 DNF*,114.0 DNF,DNC,DNC,80,603,104
GBR 8526,Tim Bird,Damon Smith,,69,92,114.0 DNF*,DNC,DNC,DNC,DNC,617,105
GBR 8887,Tom Clayton,,,99,100,114.0 DNF*,114.0 DNF,114.0 DNF,98,93,618,106
GBR 8419,Steve Perkins,James Brown,,72,114.0 DNF*,114.0 DSQ,DNC,DNC,DNC,DNC,642,107
IRL 8072,Chris Marwood,Stan Reynolds,,114.0 DNS*,105,114.0 DNF,114.0 DNF,DNC,102,95,644,108
GBR 8860,Kevin Holden,Tony Merry,,101,114.0 DNF*,114.0 DNF,114.0 DNS,114.0 DNF,101,103,647,109
GBR 8460,John Driscoll,Ian Standish,,DNC*,97,114.0 DNF,DNC,DNC,DNC,98,651,110
IRL 8357,Michael O'Brien,John O'Gorman,,114.0 DNS*,103,114.0 DNF,99,114.0 DNF,DNC,114.0 DNS,658,111
FRA 8870,Silvestre,Vallaud,,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,684,112
GBR 8914,Alex Cherry,Magnus Leask,,DNC*,DNC,DNC,DNC,DNC,DNC,DNC,684,112
