RSA,Sail No,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Total,Nett,Rank
RSA,8719,A Ham,A Burger,USYC,2,2,(3.0),1,2,1,(3.0),1,1,1,2,1,20,14,1
RSA,9063,Richard Hutton-Squire,James Largier,TSC,1,(5.0),1,2,1,5,1,2,2,3,(6.0),5,34,23,2
RSA,8789,Ryan Robinson,Warwick Ham,PSC,4,1,(5.0),3,4,3,2,4,5,2,(7.0),2,42,30,3
RSA,9094,Thomas Funke,Peter Funke,PYC,3,3,(DNS),(DNC),DNC,2,4,5,4,4,3,4,71,45,4
RSA,9026,Tina Plattner,David Shelton,RCYC,5,4,2,5,(DNC),(DNC),9,3,3,6,8,6,77,51,5
RSA,8948,Georgou Divaris,Ferdinand Holm,KYC,(DNC),6,(DNC),6,3,7,8,6,7,5,1,7,82,56,6
RSA,8445,  Kyle Klaas,Robert von Gruenewaldt,PSC,6,7,(DNS),7,5,4,7,(9.0),6,8,4,3,79,57,7
RSA,8091,Sean Ballantyne,Ryan Banardo,VYC,7,8,4,(DNC),6,6,6,7,(9.0),7,9,8,90,68,8
RSA,8537,Kevin Foreman,Adam Van Der Ploeg,IYC,8,9,(DNS),4,(DNC),DNC,5,8,8,10,5,9,105,79,9
RSA,8584,Hans Rogotzki,Greg Barnard,PYC,(DNC),10,(DNC),DNC,RET,DNC,10,10,10,9,10,10,134,108,10
RSA,6756,Andre Eigelaar,Jean-Paul Stuyck,SBYC,10,12,(DNS),8,(DNC),DNC,11,DNC,11,DNC,12,12,141,115,11
RSA,4437,Grant Ballantyne,Evert Groenewald,VYC,9,11,(DNC),(DNC),DNC,DNC,RET,11,RET,DNC,11,11,144,118,12
